subject,circle_id,circle_number,codeable,me_circle,x,y,radius
SS1608910542319,circle1,1,1,1,437,339,74.63243263
SS1608910542319,circle1,2,1,0,560,208,82.92767934
SS1608910542319,circle1,3,1,0,238,416,59.03388857
SS1608915923505,circle2,1,1,1,200,202,110.2088926
SS1608915923505,circle2,2,1,0,364,159,140.7302384
SS1608915923505,circle2,3,1,0,97,294,81.32035416
SS1608915923505,circle2,4,1,0,224,314,108.0462864
SS1608919052817,circle3,1,1,1,199,216,119.0042016
SS1608919052817,circle3,2,1,0,305,295,125.399362
SS1608919052817,circle3,3,1,0,330,75,124.7878199
SS1608922359968,circle4,1,1,1,145,269,84.81155582
SS1608922359968,circle4,2,1,0,223,116,111.2519663
SS1608922359968,circle4,3,1,0,250,261,114.2716063
SS1608922359968,circle4,4,1,0,301,404,98.71676656
SS1608922359968,circle4,5,1,0,126,390,92.80086206
SS1608939499047,circle5,1,1,0,175,71,123.794184
SS1608939499047,circle5,2,1,0,453,106,118.4060809
SS1608939499047,circle5,3,1,1,307,386,135.0296264
SS1608943874386,circle6,1,0,0,194,68,61.91122677
SS1608945641685,circle7,1,1,1,139,100,84.40379138
SS1608945641685,circle7,2,1,0,492,252,95.13148795
SS1608945641685,circle7,3,1,0,223,251,75.43208866
SS1608945641685,circle7,4,1,0,427,26,50.99019514
SS1608945641685,circle7,5,1,0,295,69,49.2036584
SS1608948095292,circle8,1,1,0,305,210,55.32630477
SS1608948095292,circle8,2,1,0,573,217,61.40032573
SS1608948095292,circle8,3,1,1,353,376,49.2036584
SS1608948095292,circle8,4,1,0,497,389,36.06937759
SS1608949381789,circle9,1,1,1,92,87,54.56189146
SS1608949381789,circle9,2,1,0,350,75,69.8140387
SS1608949381789,circle9,3,1,0,185,234,64.41273166
SS1608949381789,circle9,4,1,0,387,291,107.7821878
SS1608954326224,circle10,1,1,1,337,180,83.67197858
SS1608954326224,circle10,2,1,0,496,156,63.65532185
SS1608954326224,circle10,3,1,0,438,288,53.03772242
SS1608954326224,circle10,4,1,0,247,289,51.4003891
SS1608954326224,circle10,5,1,0,176,144,61.91122677
SS1608954731700,circle11,1,1,1,119,119,65.49045732
SS1608954731700,circle11,2,1,0,206,83,82
SS1608954731700,circle11,3,1,0,179,206,60.20797289
SS1608954731700,circle11,4,1,0,332,137,38.28837944
SS1608970887825,circle12,1,1,1,326,128,48.84669897
SS1608970887825,circle12,2,1,0,275,249,58.5918083
SS1608970887825,circle12,3,1,0,371,244,56.61271942
SS1608970887825,circle12,4,1,0,430,128,48.60041152
SS1608972269897,circle13,7,1,1,74,296,72.24956747
SS1608972269897,circle13,20,1,0,122,384,99.03534723
SS1608972269897,circle13,26,1,0,74,85,112.8007092
SS1608977429765,circle14,1,1,1,132,237,69.20260111
SS1608977429765,circle14,2,1,0,428,163,141.1736519
SS1608977429765,circle14,3,1,0,90,390,62.17716623
SS1608977429765,circle14,4,1,0,370,412,135.9558752
SS1608996310483,circle15,1,1,1,197,126,41.61730409
SS1608996310483,circle15,2,1,0,333,88,67.94115101
SS1608996310483,circle15,3,1,0,518,98,67.17886572
SS1608996310483,circle15,4,1,0,134,254,56.5862174
SS1608996310483,circle15,5,1,0,271,242,55.86591089
SS1608996310483,circle15,6,1,0,404,229,53.82378656
SS1608996310483,circle15,7,1,0,532,232,36.89173349
SS1608996688173,circle16,1,1,1,139,126,93.00537619
SS1608996688173,circle16,2,1,0,222,242,47.42362281
SS1608996688173,circle16,3,1,0,315,135,50.32891813
SS1608996688173,circle16,4,1,0,142,335,43.829214
SS1608996688173,circle16,5,1,0,258,335,45.54119015
SS1608997032951,circle17,1,1,1,325,255,60.44005295
SS1608997032951,circle17,2,1,0,511,135,91.02197537
SS1608997032951,circle17,3,1,0,99,108,57.70615219
SS1608997032951,circle17,4,1,0,120,340,84.21995013
SS1608997032951,circle17,5,1,0,513,335,69.42621983
SS1608997112698,circle18,1,1,1,330,88,69.97142274
SS1608997112698,circle18,2,1,0,437,243,87.32124598
SS1608997112698,circle18,3,1,0,160,205,89.89438247
SS1608997232238,circle19,1,1,1,282,233,56.40035461
SS1608997232238,circle19,2,1,0,653,395,72.9451849
SS1608997232238,circle19,3,1,0,416,101,69.33974329
SS1608997232238,circle19,4,1,0,208,395,49.04079934
SS1608997232238,circle19,5,1,0,380,404,52.32590181
SS1608997232238,circle19,6,1,0,539,185,31.30495168
SS1608997232238,circle19,7,1,0,470,330,30.46309242
SS1608997522324,circle20,1,1,1,68,85,59.46427499
SS1608997522324,circle20,2,1,0,157,60,75.16648189
SS1608997522324,circle20,3,1,0,288,69,64.00781202
SS1608997522324,circle20,4,1,0,203,155,61.85466838
SS1608997707068,circle21,1,1,1,139,137,89.55445271
SS1608997707068,circle21,2,1,0,266,77,86.40023148
SS1608997774748,circle22,1,1,1,276,140,81.56592426
SS1608997774748,circle22,2,1,0,487,123,101.2373449
SS1608997774748,circle22,3,1,0,302,254,109.2016483
SS1608997826306,circle23,1,1,1,248,198,77.20103626
SS1608997826306,circle23,2,1,0,375,148,100.0049999
SS1608997826306,circle23,3,1,0,310,288,281.5848007
SS1608997826306,circle23,4,1,0,578,309,209.121974
SS1608998177863,circle24,1,1,1,327,335,51.623638
SS1608998177863,circle24,2,1,0,488,266,51.66236541
SS1608998177863,circle24,3,1,0,279,217,60.20797289
SS1608998177863,circle24,4,1,0,204,371,49.65883607
SS1608998191588,circle25,1,1,1,314,126,104.3168251
SS1608998191588,circle25,2,1,0,222,230,41.0487515
SS1608998191588,circle25,3,1,0,366,218,64.20280368
SS1608998191588,circle25,4,1,0,416,84,56.72741841
SS1608998191588,circle25,5,1,0,175,98,41.23105626
SS1608998414826,circle26,1,1,1,260,248,126.015872
SS1608998414826,circle26,2,1,0,413,292,126.8108828
SS1608998414826,circle26,3,1,0,205,418,126.5622377
SS1608998414826,circle26,4,1,0,495,164,154.5477273
SS1609000443345,circle27,1,1,1,303,208,125.2517465
SS1609000443345,circle27,2,1,0,476,72,73.75635566
SS1609000443345,circle27,3,1,0,441,325,80.61017306
SS1609000443345,circle27,4,1,0,119,315,86.21484791
SS1609000443345,circle27,5,1,0,202,466,71.84705979
SS1609000763890,circle28,1,1,1,335,277,48.02082881
SS1609000763890,circle28,2,1,0,278,272,115.8015544
SS1609000763890,circle28,3,1,0,395,266,112.5388822
SS1609001721768,circle29,1,1,0,418,125,74.20242584
SS1609001721768,circle29,2,1,1,230,110,69.20260111
SS1609001721768,circle29,3,1,0,249,197,66.28725368
SS1609001790486,circle30,1,1,0,603,65,46.32493929
SS1609001790486,circle30,2,1,1,332,156,47.38143096
SS1609001790486,circle30,3,1,0,475,126,48.7954916
SS1609001790486,circle30,4,1,0,356,282,53.90732789
SS1609002028914,circle31,1,0,0,124,120,84.21995013
SS1609002028914,circle31,2,0,0,300,178,166.8322511
SS1609005519115,circle32,1,1,1,129,51,67.17886572
SS1609005519115,circle32,2,1,0,302,164,91.67878708
SS1609005519115,circle32,3,1,0,532,134,97.9489663
SS1609005519115,circle32,4,1,0,229,361,82.03657721
SS1609005519115,circle32,5,1,0,515,388,74.73285757
SS1609006007662,circle33,1,1,1,289,215,42.01190308
SS1609006007662,circle33,2,1,0,115,259,73.92563831
SS1609006007662,circle33,3,1,0,210,341,65.73431372
SS1609006007662,circle33,4,1,0,415,182,64.40496875
SS1609006007662,circle33,5,1,0,397,292,56.30275304
SS1609029671133,circle34,1,1,1,374,333,117.8006791
SS1609029671133,circle34,2,1,0,602,336,62.12889827
SS1609029671133,circle34,3,1,0,178,282,98.08159868
SS1609029671133,circle34,4,1,0,481,209,94.86832981
SS1609029671133,circle34,5,1,0,173,478,69.0651866
SS1609029671133,circle34,6,1,0,674,208,59.94163828
SS1609029671133,circle34,7,1,0,295,532,59.22837158
SS1609029671133,circle34,8,1,0,395,549,48.09365863
SS1609032756992,circle35,1,1,1,208,155,78.77182237
SS1609032756992,circle35,2,1,0,432,160,124.3382483
SS1609032756992,circle35,3,1,0,287,287,144.4610674
SS1609034845673,circle36,1,1,1,211,68,41.88078318
SS1609034845673,circle36,2,1,0,221,225,87.66413178
SS1609034845673,circle36,3,1,0,468,148,77.89736838
SS1609034845673,circle36,4,1,0,376,304,64.00781202
SS1609034845673,circle36,5,1,0,538,312,55.21775077
SS1609035087170,circle37,1,0,0,163,69,119.9708298
SS1609035087170,circle37,2,0,0,215,329,99.08582139
SS1609035087170,circle37,3,0,0,374,243,75.3923073
SS1609035087170,circle37,4,0,0,579,110,103.8556691
SS1609035269711,circle38,1,0,0,216,241,175.647374
SS1609035512006,circle39,1,1,1,203,176,84.31488599
SS1609035512006,circle39,2,1,0,410,161,85.5628424
SS1609035512006,circle39,3,1,0,332,313,84.05950273
SS1609035895621,circle40,1,1,1,70,54,31.95309062
SS1609035895621,circle40,2,1,0,181,48,51.623638
SS1609035895621,circle40,3,1,0,236,228,112.7297654
SS1609035895621,circle40,4,1,0,569,130,105.5509356
SS1609035895621,circle40,5,1,0,490,387,151.5585695
SS1609038166902,circle41,1,1,0,95,93,87.13208364
SS1609038166902,circle41,2,1,0,278,91,82.03657721
SS1609038166902,circle41,3,1,0,451,92,79.40403012
SS1609038166902,circle41,4,1,0,632,102,78.39005039
SS1609038166902,circle41,5,1,0,99,291,89.88882022
SS1609038166902,circle41,6,1,1,282,283,87.66413178
SS1609038359555,circle42,1,1,1,392,369,119.0168055
SS1609038359555,circle42,2,1,0,189,203,144.7791421
SS1609038359555,circle42,3,1,0,598,216,139.7139936
SS1609040322263,circle43,1,1,1,335,255,120.2538981
SS1609040322263,circle43,2,1,0,494,233,134.0634178
SS1609040322263,circle43,3,1,0,388,408,179.4268653
SS1609041102827,circle44,1,1,1,345,213,62.24146528
SS1609041102827,circle44,2,1,0,346,88,130.8319533
SS1609041102827,circle44,3,1,0,566,238,77.87810989
SS1609045009059,circle45,1,1,1,328,245,135.4178718
SS1609045009059,circle45,2,1,0,468,346,70.22819946
SS1609045009059,circle45,3,1,0,140,310,89.69392399
SS1609045009059,circle45,4,1,0,286,400,124.4266852
SS1609045009059,circle45,5,1,0,465,180,60.30754513
SS1609045159745,circle46,1,1,0,302,209,79.42921377
SS1609045159745,circle46,2,1,1,391,247,59.43904441
SS1609045159745,circle46,3,1,0,468,171,76.1642961
SS1609045159745,circle46,4,1,0,436,308,44.10215414
SS1609047757543,circle47,1,1,1,297,147,117.4776575
SS1609047757543,circle47,2,1,0,455,217,115.8317746
SS1609047757543,circle47,3,1,0,223,280,84.21995013
SS1609050562848,circle48,1,1,1,211,172,51.66236541
SS1609050562848,circle48,2,1,0,104,95,50.20956084
SS1609050562848,circle48,3,1,0,202,62,51.66236541
SS1609050562848,circle48,4,1,0,288,108,48.16637832
SS1609050562848,circle48,5,1,0,59,247,30.47950131
SS1609050562848,circle48,6,1,0,112,244,27.85677655
SS1609050562848,circle48,7,1,0,382,118,43.8634244
SS1609051064792,circle49,1,1,1,178,168,101.1780609
SS1609051064792,circle49,2,1,0,264,73,71.69379332
SS1609051064792,circle49,3,1,0,303,165,77.3369252
SS1609051064792,circle49,4,1,0,164,324,87.1148667
SS1609054193360,circle50,1,1,0,422,117,169.0266251
SS1609054193360,circle50,2,1,1,94,340,56.43580424
SS1609054193360,circle50,3,1,0,393,395,75.66372975
SS1609054420221,circle51,1,1,1,328,209,79.25906888
SS1609054420221,circle51,2,1,0,324,350,76.55063684
SS1609054420221,circle51,3,1,0,545,202,122.4295716
SS1609056109961,circle52,1,1,1,316,169,77.38862966
SS1609056109961,circle52,2,1,0,427,157,121.1981848
SS1609056238065,circle53,1,1,1,273,180,119.503138
SS1609056238065,circle53,2,1,0,476,140,128.6001555
SS1609056238065,circle53,3,1,0,392,344,126.0634761
SS1609056238065,circle53,4,1,0,82,220,111.8659913
SS1609056238065,circle53,5,1,0,176,343,101.2422837
SS1609057298261,circle54,1,1,1,317,217,74.70609078
SS1609057298261,circle54,2,1,0,242,118,94.89467846
SS1609057298261,circle54,3,1,0,351,103,96.56603958
SS1609057764742,circle55,1,1,1,301,248,139.645981
SS1609057764742,circle55,2,1,0,485,162,74.02702209
SS1609057764742,circle55,3,1,0,468,272,69.72087205
SS1609057764742,circle55,4,1,0,420,340,64.47480128
SS1609057764742,circle55,5,1,0,323,393,58.41232747
SS1609057903683,circle56,1,1,1,395,289,157.8670327
SS1609057903683,circle56,2,1,0,638,276,153.7172729
SS1609057903683,circle56,3,1,0,259,458,119.8707637
SS1609057903683,circle56,4,1,0,175,86,94.33981132
SS1609062380695,circle57,1,1,1,171,125,107.6289924
SS1609062380695,circle57,2,1,0,496,126,105.4229577
SS1609062380695,circle57,3,1,0,306,356,105.3802638
SS1609064318009,circle58,1,1,1,342,256,71.58910532
SS1609064318009,circle58,2,1,0,496,240,84.29116205
SS1609064318009,circle58,3,1,0,169,251,101.7693471
SS1609065406081,circle59,1,1,1,237,98,63.28506933
SS1609065406081,circle59,2,1,0,418,86,73.40980861
SS1609065406081,circle59,3,1,0,136,237,67.08203932
SS1609073869026,circle60,1,1,1,336,223,78.10249676
SS1609073869026,circle60,2,1,0,490,119,112.4855546
SS1609073869026,circle60,3,1,0,166,117,122.0901306
SS1609075750358,circle61,1,1,1,385,275,91.30169768
SS1609075750358,circle61,2,1,0,469,154,88.09086218
SS1609075750358,circle61,3,1,0,517,302,79.62411695
SS1609075750358,circle61,4,1,0,303,400,101.2373449
SS1609075750358,circle61,5,1,0,221,233,89.40357935
SS1609079699037,circle62,1,1,1,208,130,118.8107739
SS1609079699037,circle62,2,1,0,414,202,94.36630755
SS1609086776753,circle63,1,1,0,258,225,117.2902383
SS1609086776753,circle63,2,1,0,378,214,114.6123903
SS1609086776753,circle63,3,1,1,325,354,98.88377015
SS1609105368955,circle64,1,1,1,319,245,85
SS1609105368955,circle64,2,1,0,90,220,138.8092216
SS1609105368955,circle64,3,1,0,410,144,95.48298278
SS1609105368955,circle64,4,1,0,149,461,59.03388857
SS1609105368955,circle64,5,1,0,484,451,58.24946352
SS1609105368955,circle64,6,1,0,246,436,63.3245608
SS1609116587428,circle65,1,1,0,131,96,65.73431372
SS1609116587428,circle65,2,1,1,340,67,59.9082632
SS1609116587428,circle65,3,1,0,529,106,65.74191966
SS1609121014512,circle66,1,0,0,185,227,100.7670581
SS1609121221630,circle67,1,1,1,475,466,180.2775638
SS1609121221630,circle67,2,1,0,587,260,142.9020644
SS1609121221630,circle67,3,1,0,242,488,58.18075283
SS1609121221630,circle67,4,1,0,688,403,119.2182872
SS1609121912186,circle68,1,1,1,279,230,63.50590524
SS1609121912186,circle68,2,1,0,441,109,89.37561189
SS1609121912186,circle68,3,1,0,422,262,75.21303079
SS1609125348720,circle69,1,0,0,500,154,202.9704412
SS1609132098611,circle70,1,1,1,148,262,58.6003413
SS1609132098611,circle70,2,1,0,95,54,92.6984358
SS1609132098611,circle70,3,1,0,287,27,134.9518433
SS1609139734485,circle71,1,1,0,255,101,56.08029957
SS1609139734485,circle71,2,1,0,358,99,174.1522323
