subject,task_name,trial_raw,trial_num,stimulus,codeable,person_attribution,situation_attribution,coder
SS1608681385583,CA,It is because she's scared.,1,Kelly,1,0,0,
SS1608681385583,CA,She's the kind of person who gets scared,2,Lucy,1,1,0,
SS1608688168812,CA,"Kelly isn't playing on the bicycle because the bicycle is dangerous to play on. She wasn't scared of jumping in the water, so she isn't just the kind of person who gets scared.",1,Kelly,1,0,1,
SS1608688168812,CA,"Lucy didn't play on the bicycle becuase it's dangerous. She also jumped in the water, so likely isn't just a scared person.",2,Lucy,1,0,1,
SS1608698511254,CA,"The bicycle is dangerous to play on, especially as both of them avoided it and they were both brave enough to jump in the water.",1,Kelly,1,0,1,
SS1608698511254,CA,"The bicycle seems dangerous as both girls didn't want to play with it, even though both girls were brave enough to jump in the water.",2,Lucy,1,0,1,
SS1608700105054,CA,The bicycle is dangerous to play on.,1,Kelly,1,0,1,
SS1608700105054,CA,The bicycle is dangerous to play on.,2,Lucy,1,0,1,
SS1608700127333,CA,because the bicycle is dangerous,1,Kelly,1,0,1,
SS1608700127333,CA,the bike is dangerous to play on,2,Lucy,1,0,1,
SS1608700397099,CA,"Neither- I would assume Kelly is scared not because she is the kind of person who is easily scared nor because bicycles are dangerous, I would guess Kelly has never played on a bicycle before and it might be scary to her. (Also, do you mean to say Kelly doesn't play on the bicycle because KELLY thinks the bicycle is dangerous to play on or because I think the bicycle is dangerous to play on? )",1,Kelly,1,2,0,
SS1608700397099,CA,"Same response as last question, I think Lucy might not have as much experience with the bicycle and it might be intimidating. Perhaps she thinks the bicycle is dangerous to play with (but again, is the question asking if Lucy thinks it's dangerous or if I think it is dangerous? I do not think tricycles in general are dangerous. In other words, am I supposed to reason about Lucy's beliefs about bicycles or only about if Lucy is easily scared?)",2,Lucy,1,2,0,
SS1608704367900,CA,Kelly didn't play on the bicycle because she is the kind of person who is scared.,1,Kelly,1,1,0,
SS1608704367900,CA,Lucy also didn't play on the bicycle because she is the kind of person who gets scared.,2,Lucy,1,1,0,
SS1608705551890,CA,"Kelly is not the type of person to get scared because she played in the water. Therefore, she did not play on the bicycle not because she was scared, but because it was dangerous.",1,Kelly,1,0,1,
SS1608705551890,CA,Lucy is not a person who gets scared since she played in the water. She didn't play on the bike not because she was scared but because it was dangerous to play on.,2,Lucy,1,0,1,
SS1608708437584,CA,The bicycle is dangerous to play on,1,Kelly,1,0,1,
SS1608708437584,CA,the bicycle is dangerous to play on,2,Lucy,1,0,1,
SS1608709300687,CA,The bike is dangerous to play on.,1,Kelly,1,0,1,
SS1608709300687,CA,The bike is dangerous to play on.,2,Lucy,1,0,1,
SS1608737929527,CA,bicycle is dangerous to play on,1,Kelly,1,0,1,
SS1608737929527,CA,bicycle is dangerous to play on,2,Lucy,1,0,1,
SS1608750563425,CA,It is because she's scared.,1,Kelly,1,1,0,
SS1608750563425,CA,It is because she's scared.,2,Lucy,1,1,0,
SS1608759071639,CA,Kelly is scared of playing on the bicycle because she thinks it could be dangerous.,1,Kelly,1,0,1,
SS1608759071639,CA,Lucy didn't play on the bicycle because she thought it might be dangerous.,2,Lucy,1,0,1,
SS1608764841871,CA,Kelly is scared to play on the bicycle,1,Kelly,1,0,0,
SS1608764841871,CA,Lucy is scared of the bicycle,2,Lucy,1,0,0,
SS1608764844416,CA,Kelly didn't paly on the bicycle because she was scared. ,1,Kelly,1,0,0,
SS1608764844416,CA,Lucy didn't play on the bicycle because it is dangerous to play on. ,2,Lucy,1,0,1,
SS1608764928854,CA,It is because the bicycle is dangerous to play on.,1,Kelly,1,0,1,
SS1608764928854,CA,It is because the bicycle is dangerous to play on.,2,Lucy,1,0,1,
SS1608765105161,CA,Kelly did not play on the bicycle because she thinks the bicycle is dangerous.,1,Kelly,1,0,1,
SS1608765105161,CA,Lucy didn't play on the bicycle because the bicycle is dangerous to play on.,2,Lucy,1,0,1,
SS1608765292402,CA,"She may just be scared of the bicycle specifically. She wasn't scared of the water, so I wouldn't say she's a particularly fearful person.",1,Kelly,1,0,1,
SS1608765292402,CA,"Same as Kelly, she may just not like bikes. She wasn't afraid of the water, so it's not like she's super fearful.",2,Lucy,1,1,0,
SS1608765554635,CA,It is because the narrator stated that Kelly was scared.,1,Kelly,1,0,0,
SS1608765554635,CA,The narrator stated the Lucy is scared.,2,Lucy,1,0,0,
SS1608765717953,CA,The bike might be dangerous since both she and Lucy were scared to play on it but were not scared of the water.,1,Kelly,1,0,1,
SS1608765717953,CA,"Again, the bike might be dangerous since she and Kelly were both afraid to play on it.",2,Lucy,1,0,1,
SS1608766095260,CA,Kelly is probably scared,1,Kelly,1,0,0,
SS1608766095260,CA,Lucy is likely scared,2,Lucy,1,0,0,
SS1608766593457,CA,She was scared because she probably thought the bike was dangerous. ,1,Kelly,1,0,1,
SS1608766593457,CA,She was scared because she thought the bike is dangerous. ,2,Lucy,1,0,1,
SS1608766617789,CA,Kelly didn't play on the bicycle because the bicycle is dangerous to play on.,1,Kelly,1,0,1,
SS1608766617789,CA,Lucy didn't play on the bicycle because the bicycle is dangerous to play on.,2,Lucy,1,0,1,
