subject,culture,prompt,response,correct,coder
SS1651544690789,CN,Description0,尾巴灯的颜色,1,AC
SS1651544824620,CN,Description0,红色的飞机机翼以及机身的棱形图片一个图片是黄色一个图片是白色,1,
SS1651544913549,CN,Description0,机尾颜色,1,
SS1651545081461,CN,Description0,尾部三个黄色的菱形的东西,1,
SS1651545107281,CN,Description0,飞机的机头的一个颜色为白色，另一个为黄色,1,
SS1651545123067,CN,Description0,飞机图标的颜色不一样,1,
SS1651545188145,CN,Description0,菱形标志物的颜色,1,
SS1651545279588,CN,Description0,菱形花纹的颜色“黄色白色”,1,
SS1651545285513,CN,Description0,飞机后面的标识颜色不一样,1,
SS1651545357097,CN,Description0,机尾黄色和白色,1,
SS1651545751233,CN,Description0,车前方格子颜色,1,
SS1651546122639,CN,Description0,飞机尾部菱形颜色,1,
SS1651546915326,CN,Description0,飞机的装饰颜色不一致 一个白色一个黄色,1,
SS1651547162777,CN,Description0,红色飞机后面的菱形方块,1,
SS1651548143005,CN,Description0,尾翼颜色,1,
SS1651552362039,CN,Description0,三个白色的灯和三个黄色的灯,1,
SS1651552795730,CN,Description0,尾翼颜色,1,
SS1651552837542,CN,Description0,飞机车位,0,
SS1651553474432,CN,Description0,飞机标志颜色,1,
SS1651553913160,CN,Description0,机尾菱形的颜色,1,
SS1651553969715,CN,Description0,颜色,1,
SS1651554145523,CN,Description0,飞机尾部的色块,1,
SS1651554184228,CN,Description0,未知,0,
SS1651554284065,CN,Description0,飞机上四边形的颜色,1,
SS1651554809980,CN,Description0,未知,0,
SS1651559729763,CN,Description0,颜色,1,
SS1651560025455,CN,Description0,飞机身上的菱形条纹的颜色,1,
SS1651561685665,CN,Description0,红色飞机机尾图案颜色不同,1,
SS1651562034956,CN,Description0,飞机菱形颜色,1,
SS1651562868228,CN,Description0,飞机上菱形块的颜色不一样,1,
SS1651564260438,CN,Description0,红色飞机上的菱形块颜色,1,
SS1651564308340,CN,Description0,尾翼颜色,1,
SS1651565828518,CN,Description0,飞船尾端颜色变化,1,
SS1651568252846,CN,Description0,飞机机尾部分颜色不一样,1,
SS1651568382617,CN,Description0,飞机 尾部颜色,1,
SS1651568918829,CN,Description0,左边飞机尾翼菱形图案颜色,1,
SS1651570752111,CN,Description0,菱形的颜色,1,
SS1651571509239,CN,Description0,红色飞机后方图案颜色不同,1,
SS1651572914976,CN,Description0,飞机尾巴菱形颜色不一样，一个白色一个黄色,1,
SS1651576408487,CN,Description0,飞机尾部的菱形颜色,1,
SS1651578940027,CN,Description0,飞机尾巴上图案颜色不同,1,
SS1651579399729,CN,Description0,飞机尾翼颜色不一样,1,
SS1651582669897,CN,Description0,飞机的三角图案颜色不同,1,
SS1651590333066,CN,Description0,飞机黄白颜色涂装不同,1,
SS1651620046254,CN,Description0,飞机后面图形的颜色,1,
SS1651623308643,CN,Description0,左边红色飞机的装饰由黄变白,1,
SS1651625504097,CN,Description0,飞机喷漆颜色,1,
SS1651629675682,CN,Description0,红色飞机上的菱形块颜色,1,
SS1651631038398,CN,Description0,飞机形状不一样,0,
SS1651631374290,CN,Description0,飞机尾部有个五边形图案的颜色不同。,1,
SS1651632269384,CN,Description0,反光条颜色,1,
SS1651633449820,CN,Description0,飞机尾部上面的三个菱形的颜色不一样,1,
SS1651634088254,CN,Description0,机尾喷漆的颜色,1,
SS1651634616537,CN,Description0,装饰菱形的颜色 ,1,
SS1651634772197,CN,Description0,反光条,1,
SS1651636059839,CN,Description0,反光条,1,
SS1651637972613,CN,Description0,飞机上边的颜色,1,
SS1651642739005,CN,Description0,颜色不同,1,
SS1651644576691,CN,Description0,飞机上一个小菱形的颜色,1,
SS1651645903803,CN,Description0,机身的的菱形灯有变化,1,
SS1651648364635,CN,Description0,飞机上菱形是黄色还是白色,1,
SS1651649525276,CN,Description0,有一张红色飞机上的菱形是黄色的，有一张是白色的,1,
SS1651652206023,CN,Description0,飞机菱形,1,
SS1651652979760,CN,Description0,飞机的颜色，一个白色一个黄色,1,
SS1651654468673,CN,Description0,机身的装饰颜色白与黄变化,1,
SS1651654992618,CN,Description0,飞机尾部图案颜色,1,
SS1651655612985,CN,Description0,飞机的颜色,1,
SS1651660777144,CN,Description0,飞机颜色黄白,1,
SS1651661370426,CN,Description0,飞机后翼三个方块的颜色,1,
SS1651662575870,CN,Description0,红色飞机的图案颜色,1,
SS1651663394470,CN,Description0,未知,0,
SS1651664105704,CN,Description0,红色飞机尾翼方块颜色，一个为白色一个为黄色,1,
SS1651665034176,CN,Description0,红色飞机上面的图形颜色不一样,1,
SS1651666650135,CN,Description0,尾部三个菱形的颜色,1,
SS1651669607417,CN,Description0,尾巴颜色,1,
SS1651669856701,CN,Description0,红色飞机尾的三个菱形灯,1,
SS1651672824225,CN,Description0,飞机上的四个钻石样的图标颜色不同,1,
SS1651674999028,CN,Description0,飞机喷涂,1,
SS1651675575564,CN,Description0,飞机机翼的花纹颜色,1,
SS1651675739437,CN,Description0,飞机尾部颜色不同,1,
SS1651682617757,CN,Description0,菱形的颜色不同，有个是黄色，有个是白色,1,
SS1651705155608,CN,Description0,飞机的标志颜色,1,
SS1651713128281,CN,Description0,红色飞机的尾翼,1,
SS1651721379726,CN,Description0,飞机的信号灯,1,
SS1651724542208,CN,Description0,飞机上的三角标志不同，一张黄色，一张白色,1,
SS1651726203467,CN,Description0,飞机上的菱形颜色不同，一个白一个黄,1,
SS1651727116955,CN,Description0,尾翼颜色,1,
SS1651727696486,CN,Description0,飞机尾巴上方块的颜色不同,1,
SS1651728177417,CN,Description0,飞机前后标记的颜色分别是黄色和白色,1,
SS1651729682124,CN,Description0,灯的颜色是白色或黄色,1,
SS1651729792731,CN,Description0,红色飞机尾部的三个菱形标志颜色不同,1,
SS1651731235827,CN,Description0,未知,0,
SS1651732296508,CN,Description0,飞机尾巴的颜色不同,1,
SS1651734446265,CN,Description0,左下方三个菱形的颜色,1,
SS1651737005457,CN,Description0,飞机尾翼上三个菱形的颜色,1,
SS1651739183035,CN,Description0,飞机表面菱形颜色,1,
SS1651742060593,CN,Description0,飞机尾巴上图案颜色不同,1,
SS1651743246534,CN,Description0,黄色和白色的四边形,1,
SS1651744829480,CN,Description0,直升机菱形颜色——黄色、白色,1,
SS1651747335475,CN,Description0,直升机的花纹黄的和白的,1,
SS1651748703908,CN,Description0,黄白图案不同,1,
SS1651751338853,CN,Description0,飞机尾巴上的标的颜色不一样，一个白色一个黄色。,1,
SS1651751579584,CN,Description0,喷气飞机的尾部颜色不一样,1,
SS1651761786814,CN,Description0,反光条,1,
SS1651762141455,CN,Description0,飞机的前面和后面的一小块装饰的颜色不同，一张图片上是黄色，另一张是白色,1,
SS1651763037034,CN,Description0,反光条,1,
SS1651764193629,CN,Description0,颜色,1,
SS1651765169248,CN,Description0,飞机表面不同,1,
SS1651765894743,CN,Description0,红色飞机车机尾喷绘的颜色一黄一白,1,
SS1651765911820,CN,Description0,红色飞机尾部的四边形颜色不一样,1,
SS1651767555827,CN,Description0,飞机上菱形图案颜色不一样,1,
SS1651769304707,CN,Description0,红色飞机尾翼,1,
SS1651771465459,CN,Description0,最左边飞机灯的颜色,1,
SS1651783487150,CN,Description0,飞机标志颜色,1,
SS1651798074227,CN,Description0,反光条,1,
SS1651799596238,CN,Description0,飞机尾巴菱形颜色不一样,1,
SS1651802919199,CN,Description0,飞机菱形图案的颜色,1,
SS1651804378273,CN,Description0,飞机尾翼的三个图标颜色,1,
SS1651804729362,CN,Description0,飞机尾翼喷绘颜色,1,
SS1651804768520,CN,Description0,红色飞机上的方块标识颜色不一样,1,
SS1651806183814,CN,Description0,飞机后面的颜色,1,
SS1651807227958,CN,Description0,红色飞机上的菱形块里面的颜色,1,
SS1651807671427,CN,Description0,红色飞机身上的点,1,
SS1651809674248,CN,Description0,飞机上有个菱形的涂漆变了颜色，黄色和白色,1,
SS1651810536901,CN,Description0,飞机尾部跟头部那个菱形的颜色不一样一个是黄色一个是白色,1,
SS1651810766684,CN,Description0,飞机上边的颜色,1,
SS1651811217708,CN,Description0,飞机上菱形图片颜色一个是黄色一个是白色,1,
SS1651812084324,CN,Description0,飞机上菱形黄白改变,1,
SS1651813057402,CN,Description0,飞机上的灯,1,
SS1651813633535,CN,Description0,黄色和白色菱形不同,1,
SS1651818877028,CN,Description0,飞机花纹的颜色不同,1,
SS1651821991579,CN,Description0,飞机上菱形图案颜色不同，一个为白色一个为黄色。,1,
SS1651822926317,CN,Description0,红色飞机有黄色方块和白色方块变换,1,
SS1651827681410,CN,Description0,飞机尾巴,1,
SS1651828791480,CN,Description0,红色飞机喷漆,1,
SS1651835352625,CN,Description0,红色飞机上面的黄色,1,
SS1651837328638,CN,Description0,红色直升机,0,
SS1651837445397,CN,Description0,番瓜沟通,0,
SS1651837683659,CN,Description0,飞机平行四边形中颜色不同,1,
SS1651839455332,CN,Description0,反光条,1,
SS1651840732818,CN,Description0,左下角三个菱形颜色,1,
SS1651840989750,CN,Description0,反光条,1,
SS1651842824466,CN,Description0,灯,1,
SS1651844131204,CN,Description0,黄色和白色色块,1,
SS1651845522237,CN,Description0,黄色菱形,1,
SS1651845673245,CN,Description0,红色飞机的机翼上的点的颜色改变了,1,
SS1651847391324,CN,Description0,未知,0,
SS1651849043017,CN,Description0,飞机上菱形的颜色不一样,1,
SS1651849550334,CN,Description0,飞机上黄白标志不同,1,
SS1651890985414,CN,Description0,未知,0,
SS1651891187280,CN,Description0,飞机图标颜色一黄一白,1,
SS1651897042062,CN,Description0,飞机机身上的四个菱形内部颜色从白色变成黄色,1,
SS1651901964830,CN,Description0,飞机上那个菱形的颜色不一样,1,
SS1651905218784,CN,Description0,菱形颜色,1,
SS1651906129454,CN,Description0,飞机上四边形的颜色,1,
SS1651906591158,CN,Description0,颜色,1,
SS1651906687128,CN,Description0,G-PITZ飞机上菱形装饰物颜色,1,
SS1651907106845,CN,Description0,尾翼灯,1,
SS1651910974793,CN,Description0,红色飞机尾部标志的颜色黄和白,1,
SS1651912088419,CN,Description0,车上的灯白与黄,1,
SS1651915236922,CN,Description0,黄色飞机侧面的四个菱形填充颜色不一样。,1,
SS1651916837690,CN,Description0,未知,0,
SS1651916886491,CN,Description0,标志颜色,1,
SS1651918483229,CN,Description0,未知,0,
SS1651919285907,CN,Description0,飞机机尾菱形图案颜色,1,
SS1651921503296,CN,Description0,直升机上黄色图案变白色,1,
SS1651922816094,CN,Description0,红色飞机尾部菱形图案的颜色改变,1,
SS1651924494966,CN,Description0,红色小飞机左侧的机尾上图案颜色不同,1,
SS1651926576151,CN,Description0,颜色,1,
SS1651926856493,CN,Description0,红色飞机的车尾和车头的四个菱形的填充颜色不一样。,1,
SS1651928385240,CN,Description0,直升机尾部的图案不同,1,
SS1651932416698,CN,Description0,飞机机尾颜色的变化,1,
SS1651934015946,CN,Description0,红色飞机的灯光不同，分别是白色和黄色,1,
SS1651544690789,CN,Description1,直升机,1,
SS1651544824620,CN,Description1,直升机的位置不同,1,
SS1651544913549,CN,Description1,直升机位置,1,
SS1651545081461,CN,Description1,直升飞机的位置不一样,1,
SS1651545107281,CN,Description1,直升机的飞行高度不同,1,
SS1651545123067,CN,Description1,直升飞机的位置一个上一个下,1,
SS1651545188145,CN,Description1,黄色直升机的高度,1,
SS1651545279588,CN,Description1,黄色直升机的高度,1,
SS1651545285513,CN,Description1,黄色飞机离白色飞机的远近不一样,1,
SS1651545357097,CN,Description1,直升机位置,1,
SS1651545751233,CN,Description1,直升机高度,1,
SS1651546122639,CN,Description1,小飞机的高度,1,
SS1651546915326,CN,Description1,直升飞机的位置变化,1,
SS1651547162777,CN,Description1,直升机,1,
SS1651548143005,CN,Description1,直升机,1,
SS1651552362039,CN,Description1,黄色的飞机高度不同,1,
SS1651552795730,CN,Description1,直升机,1,
SS1651552837542,CN,Description1,直升飞机的位置,1,
SS1651553474432,CN,Description1,直升机位置,1,
SS1651553913160,CN,Description1,黄色飞机的位置,1,
SS1651553969715,CN,Description1,人的遮挡,0,
SS1651554145523,CN,Description1,黄色直升机位置,1,
SS1651554184228,CN,Description1,直升机的位置变了,1,
SS1651554284065,CN,Description1,直升飞机的高低,1,
SS1651554809980,CN,Description1,左边行人中间有一条黑杠,0,
SS1651559729763,CN,Description1,直升机,1,
SS1651560025455,CN,Description1,直升机的高度,1,
SS1651561685665,CN,Description1,黄白色直升机的位置不同,1,
SS1651562034956,CN,Description1,直升飞机高度,1,
SS1651562868228,CN,Description1,第二张远处的飞机下方多加了一条东西,1,
SS1651564260438,CN,Description1,直升机,1,
SS1651564308340,CN,Description1,直升机,1,
SS1651565828518,CN,Description1,直升机位置变化,1,
SS1651568252846,CN,Description1,直升机高度不一样,1,
SS1651568382617,CN,Description1,直升机位置,1,
SS1651568918829,CN,Description1,直升机高度,1,
SS1651570752111,CN,Description1,直升机的位置,1,
SS1651571509239,CN,Description1,小飞机距离地面高度不同,1,
SS1651572914976,CN,Description1,图片下半部分往上偏移了,0,
SS1651576408487,CN,Description1,直升机的位置,1,
SS1651578940027,CN,Description1,直升机高度不同,1,
SS1651579399729,CN,Description1,下面飞机位置不一样,1,
SS1651582669897,CN,Description1,直升机螺旋桨高度不同,1,
SS1651590333066,CN,Description1,直升机位置不同,1,
SS1651620046254,CN,Description1,直升飞机高度,1,
SS1651623308643,CN,Description1,底下的飞机位置变了,1,
SS1651625504097,CN,Description1,黄色飞机位置不一样,1,
SS1651629675682,CN,Description1,直升机的高度,1,
SS1651631038398,CN,Description1,直升机,1,
SS1651631374290,CN,Description1,直升机的高度不同。,1,
SS1651632269384,CN,Description1,直升机,1,
SS1651633449820,CN,Description1,小飞机飞行高度不一样,1,
SS1651634088254,CN,Description1,直升飞机的位置,1,
SS1651634616537,CN,Description1,黄色直升机的高低,1,
SS1651634772197,CN,Description1,直升机,1,
SS1651636059839,CN,Description1,直升机,1,
SS1651637972613,CN,Description1,飞机的位置,1,
SS1651642739005,CN,Description1,大小不同,0,
SS1651644576691,CN,Description1,较近处直升机的位置,1,
SS1651645903803,CN,Description1,直升机的位置不一样,1,
SS1651648364635,CN,Description1,直升机机翼，一黑一白，只有白,0,
SS1651649525276,CN,Description1,黄色直升机的位置不一样。,1,
SS1651652206023,CN,Description1,飞机高度,1,
SS1651652979760,CN,Description1,小直升机的位置高低,1,
SS1651654468673,CN,Description1,直升机位置变化,1,
SS1651654992618,CN,Description1,直升机高低,1,
SS1651655612985,CN,Description1,飞机的影子,0,
SS1651660777144,CN,Description1,飞机位置,1,
SS1651661370426,CN,Description1,直升机的位置,1,
SS1651662575870,CN,Description1,直升机位置不同,1,
SS1651663394470,CN,Description1,人,0,
SS1651664105704,CN,Description1,有一个在螺旋桨左边的黑色线条挡住了人，另一个黑色线条在人下方,0,
SS1651665034176,CN,Description1,直升机位置偏移,1,
SS1651666650135,CN,Description1,飞机下人的动作,0,
SS1651669607417,CN,Description1,小飞机的大小,0,
SS1651669856701,CN,Description1,黄白相间的直升机的高度,1,
SS1651672824225,CN,Description1,下面这架直升机的桨的位置不同,1,
SS1651674999028,CN,Description1,直升机位置不同,1,
SS1651675575564,CN,Description1,前面的飞机,1,
SS1651675739437,CN,Description1,直升飞机位置不同,1,
SS1651682617757,CN,Description1,直升机位置不同,1,
SS1651705155608,CN,Description1,直升机位置,1,
SS1651713128281,CN,Description1,直升机的高度,1,
SS1651721379726,CN,Description1,飞机的螺旋桨变化了,0,
SS1651724542208,CN,Description1,两张飞机的位置不同,1,
SS1651726203467,CN,Description1,飞机的高度,1,
SS1651727116955,CN,Description1,直升机,1,
SS1651727696486,CN,Description1,面前的直升机位置不同,1,
SS1651728177417,CN,Description1,黄色直升机高低不同,1,
SS1651729682124,CN,Description1,飞机的位置移动了,1,
SS1651729792731,CN,Description1,画面下方的飞机在跑道上的位置不同,1,
SS1651731235827,CN,Description1,黄色飞机的角度,1,
SS1651732296508,CN,Description1,小人的裤子和黄色的飞机,0,
SS1651734446265,CN,Description1,黄色飞机的位置,1,
SS1651737005457,CN,Description1,飞机下方黄线的位置,1,
SS1651739183035,CN,Description1,黄飞机的高度,1,
SS1651742060593,CN,Description1,小飞机离地面距离,1,
SS1651743246534,CN,Description1,直升机一张在地面上，一张不是,1,
SS1651744829480,CN,Description1,直升机位置不同,1,
SS1651747335475,CN,Description1,第一画幅的直升机高矮不同,1,
SS1651748703908,CN,Description1,直升机位置不同,1,
SS1651751338853,CN,Description1,小飞机颜色不同。,0,
SS1651751579584,CN,Description1,直升机位置不一样,1,
SS1651761786814,CN,Description1,直升机,1,
SS1651762141455,CN,Description1,黄色小直升飞机的高度不同,1,
SS1651763037034,CN,Description1,直升机,1,
SS1651764193629,CN,Description1,直升机,1,
SS1651765169248,CN,Description1,直升机位置不同,1,
SS1651765894743,CN,Description1,黄色直升机一上一下,1,
SS1651765911820,CN,Description1,黄色加白色的小飞机的高度不一样,1,
SS1651767555827,CN,Description1,白色飞机下面的人不一样 黄色飞机的位置不一样,1,
SS1651769304707,CN,Description1,直升飞机,1,
SS1651771465459,CN,Description1,直升机高度,1,
SS1651783487150,CN,Description1,直升机,1,
SS1651798074227,CN,Description1,直升机,1,
SS1651799596238,CN,Description1,飞机位置不一样,1,
SS1651802919199,CN,Description1,直升机位置,1,
SS1651804378273,CN,Description1,直升机位置不同,1,
SS1651804729362,CN,Description1,人的阴影,0,
SS1651804768520,CN,Description1,小直升机距离地面的位置不同,1,
SS1651806183814,CN,Description1,直升飞机的位置,1,
SS1651807227958,CN,Description1,黄色直升飞机的位置,1,
SS1651807671427,CN,Description1,黄色飞机位置变化,1,
SS1651809674248,CN,Description1,黄色的飞机上下移动,1,
SS1651810536901,CN,Description1,直升机的两次位置不一样,1,
SS1651810766684,CN,Description1,黄色飞机的位置,1,
SS1651811217708,CN,Description1,黄色飞机顶上的十字架一个高一个低,1,
SS1651812084324,CN,Description1,下面飞机上下改变,1,
SS1651813057402,CN,Description1,飞机的位置,1,
SS1651813633535,CN,Description1,直升机的位置不同,1,
SS1651818877028,CN,Description1,直升飞机的位置,1,
SS1651821991579,CN,Description1,黄色飞机的位置不同，一个高一个低。,1,
SS1651822926317,CN,Description1,黄色飞机高度变化,1,
SS1651827681410,CN,Description1,黄飞机的高度,1,
SS1651828791480,CN,Description1,黄色直升机,1,
SS1651835352625,CN,Description1,直升机的位置,1,
SS1651837328638,CN,Description1,黄色飞机,1,
SS1651837445397,CN,Description1,直升机,1,
SS1651837683659,CN,Description1,直升机高度不同,1,
SS1651839455332,CN,Description1,直升机,1,
SS1651840732818,CN,Description1,黄色飞机高度,1,
SS1651840989750,CN,Description1,直升机,1,
SS1651842824466,CN,Description1,直升机,1,
SS1651844131204,CN,Description1,直升机的位置,1,
SS1651845522237,CN,Description1,黄色直升机与其下方黄色线条的距离,1,
SS1651845673245,CN,Description1,直升机的位置发生了变化,1,
SS1651847391324,CN,Description1,机场人穿着,1,
