subject,culture,trial_info,raw_response,response,coder
SS1651544690789,CN,allheal1,"{""si_li_allheal1"":""神仙草可以治好他得病""}",1,SG
SS1651544824620,CN,allheal1,"{""si_li_allheal1"":""神仙草可以治他的病谁先找到谁有奖励""}",1,SG
SS1651544913549,CN,allheal1,"{""si_li_allheal1"":""有一个仙草可以救他的命""}",1,SG
SS1651545081461,CN,allheal1,"{""si_li_allheal1"":""关于神仙草的梦""}",1,SG
SS1651545107281,CN,allheal1,"{""si_li_allheal1"":""神仙草""}",1,SG
SS1651545123067,CN,allheal1,"{""si_li_allheal1"":""发现神仙草可以治病 找到的人有重奖""}",1,SG
SS1651545188145,CN,allheal1,"{""si_li_allheal1"":""好像是神仙草的事情""}",1,SG
SS1651545279588,CN,allheal1,"{""si_li_allheal1"":""在遥远的岛上，有神仙草可以治病""}",1,SG
SS1651545285513,CN,allheal1,"{""si_li_allheal1"":""找到神仙草的有重奖""}",1,SG
SS1651545357097,CN,allheal1,"{""si_li_allheal1"":""神仙草可以治疗他的疾病""}",1,SG
SS1651545751233,CN,allheal1,"{""si_li_allheal1"":""有神仙草""}",1,SG
SS1651546122639,CN,allheal1,"{""si_li_allheal1"":""神仙草可以治好他的病""}",1,SG
SS1651546915326,CN,allheal1,"{""si_li_allheal1"":""找神仙草治病""}",1,SG
SS1651547162777,CN,allheal1,"{""si_li_allheal1"":""他需要一味神仙草来治病""}",1,SG
SS1651548143005,CN,allheal1,"{""si_li_allheal1"":""神仙草可以救他的命""}",1,SG
SS1651552362039,CN,allheal1,"{""si_li_allheal1"":""神仙草可以救他父亲的命""}",1,SG
SS1651552795730,CN,allheal1,"{""si_li_allheal1"":""关于神仙草的梦\n""}",1,SG
SS1651552837542,CN,allheal1,"{""si_li_allheal1"":""有一个神奇草，能治病""}",1,SG
SS1651553474432,CN,allheal1,"{""si_li_allheal1"":""有仙草可以治他的病""}",1,SG
SS1651553913160,CN,allheal1,"{""si_li_allheal1"":""找神仙草可以治他的病""}",1,SG
SS1651553969715,CN,allheal1,"{""si_li_allheal1"":""草可以治好病""}",1,SG
SS1651554145523,CN,allheal1,"{""si_li_allheal1"":""神仙草""}",1,SG
