subject,culture,prompt,response,correct,coder
SS1651616817210,US,Description0,The diamonds on the tail of the red plane change from yellow to white,1,abc
SS1651616819170,US,Description0,the diamonds on the red plane go from white to yellow,1,abc
SS1651616821119,US,Description0,color of diamond,1,abc
SS1651616823657,US,Description0,diamond logo of tail from the airplane changes from yellow to white color,1,abc
SS1651616824013,US,Description0,unknown,0,abc
SS1651616827589,US,Description0,plane,1,abc
SS1651616829561,US,Description0,the diamonds on the plane are yellow in one pic white in the other,1,abc
SS1651616834023,US,Description0,the diamonds on the red plane are yellow in one picture and white in teh other,1,abc
SS1651616835091,US,Description0,The colors of the diamonds on the red plane,1,abc
SS1651616837719,US,Description0,The sticker on the plane changes from white to yellow.,1,abc
SS1651616838947,US,Description0,The color changes from white to yellow,1,abc
SS1651616839031,US,Description0,the color of the decals change to yellow,1,abc
SS1651616839120,US,Description0,diamonds change color,1,abc
SS1651616839551,US,Description0,yellow diamonds on tail of plane,1,abc
SS1651616839622,US,Description0,unknown,0,abc
SS1651616840889,US,Description0,The color of the diamonds on the plane tail changes.,1,abc
SS1651616841722,US,Description0,The diamond on the red plane is yellow in one picture.,1,abc
SS1651616841972,US,Description0,The 3 triangles on the back of the plane change from yellow to white between both pictures,1,abc
SS1651616843053,US,Description0,color of triangles on plane,1,abc
SS1651616844450,US,Description0,diamonds on plane change colors,1,abc
SS1651616844684,US,Description0,yellow diamond on plane,1,abc
SS1651616844911,US,Description0,the plan has yellow accents in one and white in the other,1,abc
SS1651616846951,US,Description0,the red plane,1,abc
SS1651616850845,US,Description0,different color logo,1,abc
SS1651616854167,US,Description0,diamonds are yellow and white on plane rear,1,abc
SS1651616854402,US,Description0,The paint in the plane has yellow or white diamonds.,1,abc
SS1651616857792,US,Description0,unknown,0,abc
SS1651616858489,US,Description0,the colors on the decals on the plane are different,1,abc
SS1651616858633,US,Description0,THe color of the diamonds on the red plane are different.,1,abc
SS1651616860080,US,Description0,"One picture has the red plane decorated with some yellow spots, while other has its spots decorated white.",1,abc
SS1651616860708,US,Description0,airplane diamond color,1,abc
SS1651616861128,US,Description0,plane tail color,1,abc
SS1651616861546,US,Description0,the diamonds on the tail of the airplane,1,abc
SS1651616863114,US,Description0,The yellow painting changes to white. ,1,abc
SS1651616863145,US,Description0,The paint on the red plane is different,1,abc
SS1651616876627,US,Description0,the decal is yellow in the first picture and white in the second,1,abc
SS1651616909217,US,Description0,the triangles on the plane change from yellow to white,1,abc
SS1651616969092,US,Description0,yellow on the airplane,1,abc
SS1651616982939,US,Description0,The diamonds on the plane change colors from white to yellow.,1,abc
SS1651617013503,US,Description0,color of diamonds on plane,1,abc
SS1651617033971,US,Description0,color of the plane,1,abc
SS1651617071100,US,Description0,the color on the tail of the plain,1,abc
SS1651617143573,US,Description0,The decal changes from white to yellow,1,abc
SS1651617282312,US,Description0,the decals on the red plane are different colors than the other,1,abc
SS1651617310480,US,Description0,The diamond design on the back tail of the red plane changes from white in one image to yellow in the second image.,1,abc
SS1651624230659,US,Description0,the color of the triangle on the red plain,1,abc
SS1651678198123,US,Description0,The diamonds on the red plane change color,1,abc
SS1651678202019,US,Description0,Color toggle of geometric shapes on yellow crop duster. Rotates between yellow and white,1,abc
SS1651678206055,US,Description0,the diamonds on the red plane are yellow in one photo and white in the second photo,1,abc
SS1651678216185,US,Description0,unknown,0,abc
SS1651678216437,US,Description0,the color of the diamonds on the red jet,1,abc
SS1651678218891,US,Description0,the tail colors are different on the red plane,1,abc
SS1651678220434,US,Description0,different vehicles,0,abc
SS1651678221331,US,Description0,the three rhombuses on the plane's tail switch between yellow and gray/white,1,abc
SS1651678224995,US,Description0,the patterns in the red jet color,1,abc
SS1651678226524,US,Description0,yellow triangles,1,abc
SS1651678227696,US,Description0,The diamonds on the wing changed color,1,abc
SS1651678229872,US,Description0,the diamond colors ,1,abc
SS1651678232565,US,Description0,Diamond shapes on plane change color.,1,abc
SS1651678239759,US,Description0,"In one picture, the diamond designs on the plane are white, in the other picture they are yellow",1,abc
SS1651678242246,US,Description0,triangles on the back of the red airplane are changing colors,1,abc
SS1651678243882,US,Description0,The diamonds on the plane are white vs. yellow,1,abc
SS1651678244241,US,Description0,The diamonds are yellow on the plane in one picture and white in the latter picture.,1,abc
SS1651678245327,US,Description0,The color of the diamonds on the tail of the plane,1,abc
SS1651678246113,US,Description0,"one plane has two pairs of wings, the other has one pair",0,abc
SS1651678246330,US,Description0,The diamonds on the tail of the red plane change back and forth between yellow and white. ,1,abc
SS1651678248637,US,Description0,The GPitz plane has a yellow diamond in one image. ,1,abc
SS1651678248989,US,Description0,The diamond colors on plane,1,abc
SS1651678249603,US,Description0,unknown,0,abc
SS1651678250397,US,Description0,unknown,0,abc
SS1651678252363,US,Description0,The diamonds on the plane changed white to yellow.,1,abc
SS1651678252935,US,Description0,unknown ,0,abc
SS1651678253736,US,Description0,the airplane is not on the ground,0,abc
SS1651678256204,US,Description0,unknown,0,abc
SS1651678257395,US,Description0,The diamonds on the red plane are yellow in one of the photos and white in the other.,1,abc
SS1651678258791,US,Description0,Color of diamonds on tail of plane,1,abc
SS1651678259296,US,Description0,color of the back of the plane changes from white to yellow,1,abc
SS1651678260164,US,Description0,Color of diamonds on plane,1,abc
SS1651678260331,US,Description0,The detail designs on the red plane are yellow in one photo and not in the other.,1,abc
SS1651678260663,US,Description0,"In one picture, the red plane has white markings, and in the other, it has yellow.",1,abc
SS1651678261063,US,Description0,the diamonds on the plane change from white to yellow,1,abc
SS1651678261912,US,Description0,different colors on the tail,1,abc
SS1651678262590,US,Description0,"diamonds on the red plane are yellow, then white",1,abc
SS1651678262854,US,Description0,Color of diamonds on plane changes,1,abc
SS1651678263725,US,Description0,white stickers on tail and door turn yelllow,1,abc
SS1651678265100,US,Description0,colored triangles on red plane,1,abc
SS1651678265263,US,Description0,The diamonds on the airplane are white in one picture and yellow in the other.,1,abc
SS1651678267011,US,Description0,the color of the diamonds on the red planes tail rudder changes,1,abc
SS1651678267140,US,Description0,Markings on plane change from white to yellow,1,abc
SS1651678267405,US,Description0,unknown,0,abc
SS1651678268119,US,Description0,unknown,0,abc
SS1651678270245,US,Description0,diamonds on plane change color,1,abc
SS1651678270524,US,Description0,the colors on the back of the plane changed,1,abc
SS1651678271326,US,Description0,The diamonds on the tail of the plane are yellow in one picture and white in the other.,1,abc
SS1651678274966,US,Description0,tail colors are white or yellow,1,abc
SS1651678278178,US,Description0,unknown,0,abc
SS1651678298946,US,Description0,white to yellow on tail of plane,1,abc
SS1651678302508,US,Description0,The airplane has yellow diamond shaped paint on one image but white on the other.,1,abc
SS1651678327719,US,Description0,the art on the back of the plane changes from yellow to white,1,abc
SS1651678328286,US,Description0,The diamonds on the tail of the plane change from white to yellow,1,abc
SS1651678331156,US,Description0,There are yellow diamonds instead of white on the plane ,1,abc
SS1651678353530,US,Description0,the color of the diamonds on the red plane,1,abc
SS1651678384991,US,Description0,The plane has some rhombuses painted in one photo they are white and in the other photo the rhombuses are yellow,1,abc
SS1651678386286,US,Description0,on the red plane 4 things keep changing color to yellow,1,abc
SS1651678409670,US,Description0,the diamonds are yellow vs white,1,abc
SS1651678434328,US,Description0,the diamonds painted on the red plane are either yellow or white,1,abc
SS1651678459452,US,Description0,"diamonds on plane were yellow in one, white in the other.",1,abc
SS1651678462364,US,Description0,"The diamonds, on the tail of the red plane, are changing from yellow to white.",1,abc
SS1651678474300,US,Description0,plane tail colors,1,abc
SS1651678537895,US,Description0,The color of the diamonds on the planes tail are changing.,1,abc
SS1651678538948,US,Description0,color of triangles on the tail fin changed to yellow,1,abc
SS1651678556653,US,Description0,Color of paint on tail of red plane.,1,abc
SS1651678559284,US,Description0,The diamonds on the plane change from yellow to white,1,abc
SS1651678574838,US,Description0,Color of diamonds on plane tail.,1,abc
SS1651678625157,US,Description0,The decal on the airplane is sliver in one and yellow in the other,1,abc
SS1651678626616,US,Description0,The diamonds on the red plane are white in one picture and yellow in the other. ,1,abc
SS1651678637077,US,Description0,the diamond colors are different on the plane,1,abc
SS1651678701050,US,Description0,unknown,0,abc
SS1651678717637,US,Description0,red plane has yellow/orange diamond patterns on the side and tail that change to white ,1,abc
SS1651678770686,US,Description0,unknown,0,abc
SS1651678809453,US,Description0,the color of the diamonds on the red airplane,1,abc
SS1651678955017,US,Description0,unknown,0,abc
SS1651679034205,US,Description0,diamonds on the plane change colors,1,abc
SS1651679448134,US,Description0,The trim on the red plane changes from yellow to white,1,abc
SS1651679534071,US,Description0,the accent colors on the plan change from yellow to white,1,abc
SS1651679569580,US,Description0,color of diamonds on red plane's tail,1,abc
SS1651679629301,US,Description0,diamonds are different color,1,abc
SS1651679984067,US,Description0,unknown,0,abc
SS1651680129189,US,Description0,colors on plane,1,abc
SS1651680530568,US,Description0,different color diamonds on plane,1,abc
SS1651680818305,US,Description0,diamond color,1,abc
SS1651680994828,US,Description0,the diamonds are yellow on the back,1,abc
SS1651681877580,US,Description0,The yellow spots on the plane turn white.,1,abc
SS1651682805154,US,Description0,color scheme of plane changed,1,abc
SS1651687447221,US,Description0,one airplane picture has yellow diamonds while the other picture has while,1,abc
SS1651689857645,US,Description0,unknown,0,abc
SS1651690446636,US,Description0,yellow diamonds,1,abc
SS1651690626669,US,Description0,the diamonds on the tail of the plane change from white to yellow,1,abc
SS1651690672320,US,Description0,The diamonds are either white or yellow.,1,abc
SS1651690674639,US,Description0,yellow triangles,1,abc
SS1651690678231,US,Description0,back plane colors yellow/white,1,abc
SS1651690678388,US,Description0,The three diamonds on the red planes tail fin switches from yellow to white from one picture to the next.,1,abc
SS1651690681690,US,Description0,yellow vs white decoration on plane,1,abc
SS1651690683219,US,Description0,The diamonds on the plane are yellow in one picture and white in the other.,1,abc
SS1651690685286,US,Description0,unknown,0,abc
SS1651690687499,US,Description0,3 diamonds on plane tail white/yellow,1,abc
SS1651690687538,US,Description0,diamond designs on plane white then yellow,1,abc
SS1651690691047,US,Description0,unknown,0,abc
SS1651690691327,US,Description0,color of diamond on plane,1,abc
SS1651690698980,US,Description0,unknown,0,abc
SS1651690706045,US,Description0,marking on airplane tail yellow to white,1,abc
SS1651690707343,US,Description0,the color of the tail,1,abc
SS1651690707467,US,Description0,yellow appears on plane,1,abc
SS1651690708015,US,Description0,Diamonds on tail of plane are yellow in one image and white in the other,1,abc
SS1651690711805,US,Description0,Color on the plane,1,abc
SS1651690714289,US,Description0,the diamonds is yellow on one of the planes and the diamonds is white on the other plane.,1,abc
SS1651690719363,US,Description0,the diamond shapes on the back of the plane are yellow in one picture and white in the other,1,abc
SS1651690719510,US,Description0,yellow instead of white symbols on tail of plane,1,abc
SS1651690723933,US,Description0,color of a daimond shped decoration on the plane,1,abc
SS1651690727662,US,Description0,The little diamonds switch from yellow to white.,1,abc
SS1651690727759,US,Description0,color of the back wing decal,1,abc
SS1651690729593,US,Description0,The design on the tail of the plane is yellow in one and white in the other,1,abc
SS1651690730467,US,Description0,the diamonds on the plane change color,1,abc
SS1651690731537,US,Description0,The red plane has different color diamonds on the body and tail.,1,abc
SS1651690732177,US,Description0,yellow diamonds on plane,1,abc
SS1651690735020,US,Description0,colors on tail of plane,1,abc
SS1651690735532,US,Description0,The diamonds on the tail of the plane changed color,1,abc
SS1651690737808,US,Description0,unknown,0,abc
SS1651690740366,US,Description0,The markings on the plane are yellow. ,1,abc
SS1651690741486,US,Description0,three diamonds on tail change colors,1,abc
SS1651690741942,US,Description0,Red plane appears out of place.,0,abc
SS1651690743939,US,Description0,The diamonds on the plane changed from yellow to white,1,abc
SS1651690748106,US,Description0,the color of the painted diamonds on the plane,1,abc
SS1651690758188,US,Description0,unknown,0,abc
SS1651690762770,US,Description0,the diamonds on the back of the plane change color from yellow to white,1,abc
SS1651690768899,US,Description0,The 3 diamond shapes are yellow in one picture and white in the other,1,abc
SS1651690793463,US,Description0,red plane white plane,0,abc
SS1651690802568,US,Description0,Diamonds on the plane change color.,1,abc
SS1651690810190,US,Description0,unknown,0,abc
SS1651690858692,US,Description0,diamonds on red plane change color,1,abc
SS1651690873357,US,Description0,unknown,0,abc
SS1651690892118,US,Description0,The color of the diamond shapes on the red plane are changing color.,1,abc
SS1651690898679,US,Description0,Yellow paint on the plane disappears.,1,abc
SS1651690926515,US,Description0,The diamonds on the plane change from yellow to white,1,abc
SS1651690932141,US,Description0,yellow diamonds are white,1,abc
SS1651690949027,US,Description0,diamond color on plane wing,1,abc
SS1651691043519,US,Description0,The diamonds on the red plane are a different color.,1,abc
SS1651691175620,US,Description0,"The color of the stripes on the tail of the red plane is yellow in one of the images, and white on the other one",1,abc
SS1651691207769,US,Description0,Yellow/White diamond on nose of red plane changes,1,abc
SS1651691673018,US,Description0,The back flap changes to yellow,1,abc
SS1651692016531,US,Description0,yellow diamonds on the plane.,1,abc
SS1651692160397,US,Description0,yellow to white shapes on red plane,1,abc
SS1651694070275,US,Description0,unknown,0,abc
SS1651697396411,US,Description0,triangles,1,abc
SS1651868487521,US,Description0,the diamonds on the back of the plane where changing from white to yellow over and over again,1,abc
SS1651868699067,US,Description0,"The diamond on the red plane is yellow in one image, white in the other",1,abc
SS1651868701012,US,Description0,colors of diamonds on plane,1,abc
SS1651868705438,US,Description0,The diamond marking on the plane has different colors.,1,abc
SS1651868707186,US,Description0,The diamond on the red plane exterior changes color from white to yellow.,1,abc
SS1651868708760,US,Description0,the diamond on the plane switched from white to yellow,1,abc
SS1651868710355,US,Description0,The red plane has yellow stickers in one picture and white stickers in the other,1,abc
SS1651868712524,US,Description0,unknown,0,abc
SS1651868713554,US,Description0,unknown. Just can't do this game.  ,0,abc
SS1651868714312,US,Description0,The decoration on the back of the plane on the left (the red plane) is yellow in one photo and white in the other.,1,abc
SS1651868714404,US,Description0,The diamonds on the plane tail change color. ,1,abc
SS1651868716048,US,Description0,The color of the diamonds on the tail of the plane changes.,1,abc
SS1651868717843,US,Description0,Yellow plane decal.,1,abc
SS1651868718682,US,Description0,The airplane details change colors.,1,abc
SS1651868720723,US,Description0,the tail of the plane has white or yellow markings ,1,abc
SS1651868725160,US,Description0,yellow diamonds gone,1,abc
SS1651868731784,US,Description0,unknown,0,abc
SS1651868736601,US,Description0,The diamonds on the red plane shift from yellow to white.,1,abc
SS1651868738305,US,Description0,The plane is a bit more to the right,0,abc
SS1651868744832,US,Description0,The red plane has yellow or white on it ,1,abc
SS1651868744957,US,Description0,The diamonds on the plane change from yellow to white,1,abc
SS1651868745180,US,Description0,unknown,0,abc
SS1651868745703,US,Description0,The airplane changes part of the styling from white to yellow,1,abc
SS1651868751261,US,Description0,unknown,0,abc
SS1651868754302,US,Description0,the diamonds on the red plane were changing from white to yellow.,1,abc
SS1651868755995,US,Description0,yellow diamonds on the red plane,1,abc
SS1651868756130,US,Description0,The diamonds on the tail of the plane change from white to yellow,1,abc
SS1651868757005,US,Description0,the yellow diamonds change to white from picture to picture,1,abc
SS1651868761529,US,Description0, tail emblam changes color,1,abc
SS1651868767690,US,Description0,the three diamonds on the tail of the plane change colors from yellow to white.,1,abc
SS1651868773205,US,Description0,The color of the hexagon is different on one.,1,abc
SS1651868778604,US,Description0,the red plane had yellow accents added,1,abc
SS1651868779378,US,Description0,The tale wing images change from white to yellow.,1,abc
SS1651868780067,US,Description0,3 white rectangles and 3 yellow rectangles,1,abc
SS1651868782330,US,Description0,The symbols on the tail are different colors,1,abc
SS1651868783532,US,Description0,The triangles on the plane's tail switch from white to yellow,1,abc
SS1651868784777,US,Description0,color of diamonds on plane,1,abc
SS1651868788340,US,Description0,wing stickers turn colors.,1,abc
SS1651868788402,US,Description0,The diamonds on the tail are different colors,1,abc
