subject,culture,ssi_id,circle_number,codeable,me_circle,coder,x,y,r
SS1651616817210,US,US1,1,0,0,AT,148,125,105.9905656
SS1651616817210,US,US1,2,0,0,AT,503,78,58.83026432
SS1651616817210,US,US1,3,0,0,AT,641,171,50.32891813
SS1651616817210,US,US1,4,0,0,AT,596,325,67.67569726
SS1651616817210,US,US1,5,0,0,AT,442,421,71.02112362
SS1651616817210,US,US1,6,0,0,AT,227,430,73.43704787
SS1651616819170,US,US2,1,1,1,AT,85,74,51.2445119
SS1651616819170,US,US2,2,1,0,AT,199,42,46.5295605
SS1651616819170,US,US2,3,1,0,AT,347,45,38.01315562
SS1651616819170,US,US2,4,1,0,AT,523,280,55.94640292
SS1651616819170,US,US2,5,1,0,AT,559,91,59.16924877
SS1651616819170,US,US2,6,1,0,AT,75,256,62.12889827
SS1651616819170,US,US2,7,1,0,AT,199,273,64.25729531
SS1651616819170,US,US2,8,1,0,AT,328,299,60.00833275
SS1651616821119,US,US3,1,1,1,AT,468,100,69.42621983
SS1651616821119,US,US3,2,1,0,AT,74,141,78.64477096
SS1651616821119,US,US3,3,1,0,AT,662,93,87.32124598
SS1651616821119,US,US3,4,1,0,AT,726,323,92.76313923
SS1651616823657,US,US4,1,1,1,AT,210,164,65.03076195
SS1651616823657,US,US4,2,1,0,AT,90,331,43.26661531
SS1651616823657,US,US4,3,1,0,AT,507,117,49.16299421
SS1651616823657,US,US4,4,1,0,AT,647,139,36.87817783
SS1651616823657,US,US4,5,1,0,AT,571,243,39.2173431
SS1651616824013,US,US5,1,1,1,AT,386,102,74.10802925
SS1651616824013,US,US5,2,1,0,AT,532,66,61.32699243
SS1651616824013,US,US5,3,1,0,AT,530,203,69.64194139
SS1651616827589,US,US6,1,0,0,AT,420,540,69.26037828
SS1651616827589,US,US6,2,0,0,AT,504,692,172.7541606
SS1651616827589,US,US6,3,0,0,AT,640,550,97.16480844
SS1651616827589,US,US6,4,0,0,AT,518,465,135.0592463
SS1651616827589,US,US6,5,0,0,AT,532,312,139.1186544
SS1651616829561,US,US7,1,1,1,AT,407,265,54.00925847
SS1651616829561,US,US7,2,1,0,AT,580,140,48.3011387
SS1651616829561,US,US7,3,1,0,AT,576,326,43.0464865
SS1651616834023,US,US8,1,1,1,AT,387,305,79.24645102
SS1651616834023,US,US8,2,1,0,AT,521,116,61.52235366
SS1651616834023,US,US8,3,1,0,AT,625,200,48.87739764
SS1651616834023,US,US8,4,1,0,AT,566,380,57.98275606
SS1651616834023,US,US8,5,1,0,AT,300,478,73.24616031
SS1651616834023,US,US8,6,1,0,AT,77,363,66.64082833
SS1651616834023,US,US8,7,1,0,AT,152,145,58.82176468
SS1651616834023,US,US8,8,1,0,AT,278,82,64.88451279
SS1651616835091,US,US9,1,1,1,AT,476,118,85.0411665
SS1651616835091,US,US9,2,1,0,AT,611,314,51.85556865
SS1651616835091,US,US9,3,1,0,AT,326,312,50.93132631
SS1651616835091,US,US9,4,1,0,AT,724,472,38.01315562
SS1651616835091,US,US9,5,1,0,AT,538,479,44.40720662
SS1651616835091,US,US9,6,1,0,AT,417,483,43.18564576
SS1651616835091,US,US9,7,1,0,AT,197,463,44.77722635
SS1651616837719,US,US10,1,1,1,AT,492,244,36.23534186
SS1651616837719,US,US10,2,1,0,AT,636,115,36.12478374
SS1651616837719,US,US10,3,1,0,AT,261,112,38.58756276
SS1651616838947,US,US11,1,1,1,AT,489,137,87.92041856
SS1651616838947,US,US11,2,1,0,AT,283,232,120.420098
SS1651616838947,US,US11,3,1,0,AT,677,228,61.40032573
SS1651616839031,US,US12,1,1,1,AT,113,58,42.52058325
SS1651616839031,US,US12,2,1,0,AT,534,25,34.88552709
SS1651616839031,US,US12,3,1,0,AT,398,183,50.24937811
SS1651616839120,US,US13,1,1,1,AT,498,320,100
SS1651616839120,US,US13,2,1,0,AT,207,146,62.12889827
SS1651616839120,US,US13,3,1,0,AT,499,76,51.97114584
SS1651616839120,US,US13,4,1,0,AT,727,150,45.31004304
SS1651616839551,US,US14,1,1,1,AT,492,109,84.17244205
SS1651616839551,US,US14,2,1,0,AT,873,439,103.247276
SS1651616839551,US,US14,3,1,0,AT,37,425,34.6554469
SS1651616839551,US,US14,4,1,0,AT,476,552,27.29468813
SS1651616839622,US,US15,1,1,1,AT,264,157,96.18731725
SS1651616839622,US,US15,2,1,0,AT,654,152,71.11258679
SS1651616840889,US,US16,1,0,0,AT,153,534,83.23460819
SS1651616840889,US,US16,2,0,0,AT,762,125,90
SS1651616840889,US,US16,3,0,0,AT,783,543,79.88116173
SS1651616840889,US,US16,4,0,0,AT,172,136,103.1746093
