subject,culture,trial_info,raw_response,response,coder
SS1651616817210,US,allheal1,"{""si_li_allheal1"":""about allheal""}",1,NA
SS1651616819170,US,allheal1,"{""si_li_allheal1"":""That whoever found the allheal plant would win a prize""}",1,NA
SS1651616821119,US,allheal1,"{""si_li_allheal1"":""Anyone who found the plant would get a prize""}",1,NA
SS1651616823657,US,allheal1,"{""si_li_allheal1"":""About his dream of a plant called allheal that can heal his sickness.""}",1,NA
SS1651616824013,US,allheal1,"{""si_li_allheal1"":""To find a plant in the jungle for curing his illness    ""}",1,NA
SS1651616827589,US,allheal1,"{""si_li_allheal1"":""He told his son he was a girl in a boy's body""}",0,NA
SS1651616829561,US,allheal1,"{""si_li_allheal1"":""to tru and gather the plant and whoever found it would get a prize""}",1,NA
SS1651616834023,US,allheal1,"{""si_li_allheal1"":""that the plant he had dreamed of would cure him""}",1,NA
SS1651616835091,US,allheal1,"{""si_li_allheal1"":""About his dream of a plant that could cure his illness\n""}",1,NA
SS1651616837719,US,allheal1,"{""si_li_allheal1"":""To get his friends and find the plant.""}",1,NA
SS1651616838947,US,allheal1,"{""si_li_allheal1"":""About the dream he had about the healing plant.""}",1,NA
SS1651616839031,US,allheal1,"{""si_li_allheal1"":""to get everyone in the town together""}",1,NA
SS1651616839120,US,allheal1,"{""si_li_allheal1"":""about his dream ""}",1,NA
SS1651616839551,US,allheal1,"{""si_li_allheal1"":""Whoever found the plant would get a prize.""}",1,NA
SS1651616839622,US,allheal1,"{""si_li_allheal1"":""that a plant would cure the businessman""}",1,NA
SS1651616840889,US,allheal1,"{""si_li_allheal1"":""He told his son about a plant that could cure his illness.""}",1,NA
SS1651616841722,US,allheal1,"{""si_li_allheal1"":""About a magical healing plant on a faraway island that could cure him.""}",1,NA
SS1651616841972,US,allheal1,"{""si_li_allheal1"":""that whoever finds the plant will win a prize""}",1,NA
SS1651616843053,US,allheal1,"{""si_li_allheal1"":""to find the cureall plant""}",1,NA
SS1651616844450,US,allheal1,"{""si_li_allheal1"":""He told him about his dream of a cure-all.""}",1,NA
SS1651616844684,US,allheal1,"{""si_li_allheal1"":""about allheal""}",1,NA
SS1651616844911,US,allheal1,"{""si_li_allheal1"":""He told them he dreamed of a plant called allheal that was far away and wanted him to find it.""}",1,NA
SS1651616846951,US,allheal1,"{""si_li_allheal1"":""a plant""}",1,NA
SS1651616850845,US,allheal1,"{""si_li_allheal1"":""Find the plant""}",1,NA
SS1651616854167,US,allheal1,"{""si_li_allheal1"":""whoever found the plant would get a prize""}",1,NA
SS1651616854402,US,allheal1,"{""si_li_allheal1"":""That he dreamed about a plant that could heal him in a jungle far away.""}",1,NA
SS1651616857792,US,allheal1,"{""si_li_allheal1"":""He was sick ""}",1,NA
SS1651616858489,US,allheal1,"{""si_li_allheal1"":""to find the plant""}",1,NA
SS1651616858633,US,allheal1,"{""si_li_allheal1"":""About the plant that he dreamed about.""}",1,NA
SS1651616860080,US,allheal1,"{""si_li_allheal1"":""He told his son about a dream the father had. The dream was that a special plant could cure the father's illness.""}",1,NA
SS1651616860708,US,allheal1,"{""si_li_allheal1"":""About his dream""}",1,NA
SS1651616861128,US,allheal1,"{""si_li_allheal1"":""about his dream""}",1,NA
SS1651616861546,US,allheal1,"{""si_li_allheal1"":""That there was a plant called Allheal and it was on an island far away""}",1,NA
SS1651616863114,US,allheal1,"{""si_li_allheal1"":""He told him about his dream""}",1,NA
SS1651616863145,US,allheal1,"{""si_li_allheal1"":""That there was a mysterious plant in a jungle which could cure him.""}",1,NA
SS1651616876627,US,allheal1,"{""si_li_allheal1"":""about the allheal plant in his dream""}",1,NA
SS1651616909217,US,allheal1,"{""si_li_allheal1"":""whoever found the plant would get a prize""}",1,NA
SS1651616969092,US,allheal1,"{""si_li_allheal1"":""To gather up all the children, whoever would find it would get a prize""}",1,NA
SS1651616982939,US,allheal1,"{""si_li_allheal1"":""About his dream and the plant allheal.""}",1,NA
SS1651617013503,US,allheal1,"{""si_li_allheal1"":""about allheal""}",1,NA
SS1651617033971,US,allheal1,"{""si_li_allheal1"":""that they would give them a prize""}",1,NA
