,subject,which_regions,demog_question,demog_response,culture
1,SS1608681385583,character(0),zipcode,950,US
2,SS1608681385583,character(0),resimobinum,2,US
3,SS1608681385583,character(0),abroadexp,No,US
4,SS1608681385583,character(0),overseaexpnum,Six or more experiences,US
5,SS1608681385583,character(0),firstlanguage,Yes,US
6,SS1608681385583,character(0),monolingual,"Yes, I am multilingual",US
7,SS1608681385583,character(0),targetlanguage,Yes,US
8,SS1608681385583,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
9,SS1608681385583,character(0),subjectiveses,9,US
10,SS1608688168812,character(0),zipcode,441,US
11,SS1608688168812,character(0),resimobinum,4,US
12,SS1608688168812,character(0),abroadexp,No,US
13,SS1608688168812,character(0),overseaexpnum,Six or more experiences,US
14,SS1608688168812,character(0),firstlanguage,Yes,US
15,SS1608688168812,character(0),monolingual,"Yes, I am multilingual",US
16,SS1608688168812,character(0),targetlanguage,No,US
17,SS1608688168812,character(0),objectiveses,"One or more years of college, no degree",US
18,SS1608688168812,character(0),subjectiveses,7,US
19,SS1608698511254,character(0),zipcode,900,US
20,SS1608698511254,character(0),resimobinum,3,US
21,SS1608698511254,character(0),abroadexp,No,US
22,SS1608698511254,character(0),overseaexpnum,Six or more experiences,US
23,SS1608698511254,character(0),firstlanguage,Yes,US
24,SS1608698511254,character(0),monolingual,"Yes, I am multilingual",US
25,SS1608698511254,character(0),targetlanguage,Yes,US
26,SS1608698511254,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
27,SS1608698511254,character(0),subjectiveses,4,US
28,SS1608700105054,character(0),zipcode,928,US
29,SS1608700105054,character(0),resimobinum,2,US
30,SS1608700105054,character(0),abroadexp,No,US
31,SS1608700105054,character(0),overseaexpnum,Three to five experiences,US
32,SS1608700105054,character(0),firstlanguage,Yes,US
33,SS1608700105054,character(0),monolingual,"Yes, I am multilingual",US
34,SS1608700105054,character(0),targetlanguage,No,US
35,SS1608700105054,character(0),objectiveses,"One or more years of college, no degree",US
36,SS1608700105054,character(0),subjectiveses,3,US
37,SS1608700397099,character(0),zipcode,940,US
38,SS1608700397099,character(0),resimobinum,2,US
39,SS1608700397099,character(0),abroadexp,No,US
40,SS1608700397099,character(0),overseaexpnum,Three to five experiences,US
41,SS1608700397099,character(0),firstlanguage,Yes,US
42,SS1608700397099,character(0),monolingual,"No, just English",US
43,SS1608700397099,character(0),targetlanguage,No,US
44,SS1608700397099,character(0),objectiveses,"One or more years of college, no degree",US
45,SS1608700397099,character(0),subjectiveses,9,US
46,SS1608704367900,character(0),zipcode,932,US
47,SS1608704367900,character(0),resimobinum,1,US
48,SS1608704367900,character(0),abroadexp,No,US
49,SS1608704367900,character(0),overseaexpnum,No experiences,US
50,SS1608704367900,character(0),firstlanguage,Yes,US
51,SS1608704367900,character(0),monolingual,"No, just English",US
52,SS1608704367900,character(0),targetlanguage,No,US
53,SS1608704367900,character(0),objectiveses,High school graduate/GED,US
54,SS1608704367900,character(0),subjectiveses,5,US
55,SS1608705551890,character(0),zipcode,,US
56,SS1608705551890,character(0),resimobinum,1,US
57,SS1608705551890,character(0),abroadexp,No,US
58,SS1608705551890,character(0),overseaexpnum,Six or more experiences,US
59,SS1608705551890,character(0),firstlanguage,Yes,US
60,SS1608705551890,character(0),monolingual,"Yes, I am multilingual",US
61,SS1608705551890,character(0),targetlanguage,No,US
62,SS1608705551890,character(0),objectiveses,"One or more years of college, no degree",US
63,SS1608705551890,character(0),subjectiveses,7,US
64,SS1608708437584,character(0),zipcode,936,US
65,SS1608708437584,character(0),resimobinum,2,US
66,SS1608708437584,character(0),abroadexp,No,US
67,SS1608708437584,character(0),overseaexpnum,One experience,US
68,SS1608708437584,character(0),firstlanguage,Yes,US
69,SS1608708437584,character(0),monolingual,"No, just English",US
70,SS1608708437584,character(0),targetlanguage,No,US
71,SS1608708437584,character(0),objectiveses,"One or more years of college, no degree",US
72,SS1608708437584,character(0),subjectiveses,5,US
73,SS1608737929527,character(0),zipcode,380,US
74,SS1608737929527,character(0),resimobinum,1,US
75,SS1608737929527,character(0),abroadexp,No,US
76,SS1608737929527,character(0),overseaexpnum,Six or more experiences,US
77,SS1608737929527,character(0),firstlanguage,Yes,US
78,SS1608737929527,character(0),monolingual,"Yes, I am multilingual",US
79,SS1608737929527,character(0),targetlanguage,Yes,US
80,SS1608737929527,character(0),objectiveses,High school graduate/GED,US
81,SS1608737929527,character(0),subjectiveses,8,US
