subject,task,exclude_reason,exclusion_type
SS1651545105150,CA,responsebias,by_task
SS1651546827542,CA,responsebias,by_task
SS1651552135862,CA,responsebias,by_task
SS1651678150777,CA,responsebias,by_task
SS1651678635745,CA,responsebias,by_task
SS1651744688510,CA,responsebias,by_task
SS1651544929438,RMTS,responsebias,by_task
SS1651555233128,RMTS,responsebias,by_task
SS1651616804135,RMTS,responsebias,by_task
SS1651616969595,RMTS,responsebias,by_task
SS1651618567608,RMTS,responsebias,by_task
SS1651678150777,RMTS,responsebias,by_task
SS1651678231224,RMTS,responsebias,by_task
SS1651690782524,RMTS,responsebias,by_task
SS1651737139245,RMTS,responsebias,by_task
SS1651740018095,RMTS,responsebias,by_task
SS1651765469703,RMTS,responsebias,by_task
SS1651803479750,RMTS,responsebias,by_task
SS1651819204055,RMTS,responsebias,by_task
SS1651906568569,RMTS,responsebias,by_task
SS1651868795565,triads,responsebias,by_task
SS1651554184228,CD,<.75codeable,by_task
SS1651616824013,CD,<.75codeable,by_task
SS1651616846951,CD,<.75codeable,by_task
SS1651616857792,CD,<.75codeable,by_task
SS1651616858633,CD,<.75codeable,by_task
SS1651616860708,CD,<.75codeable,by_task
SS1651631038398,CD,<.75codeable,by_task
SS1651637972613,CD,<.75codeable,by_task
SS1651648364635,CD,<.75codeable,by_task
SS1651660777144,CD,<.75codeable,by_task
SS1651678216185,CD,<.75codeable,by_task
SS1651678220434,CD,<.75codeable,by_task
SS1651678229872,CD,<.75codeable,by_task
SS1651678246113,CD,<.75codeable,by_task
SS1651678249603,CD,<.75codeable,by_task
SS1651678252935,CD,<.75codeable,by_task
SS1651678253736,CD,<.75codeable,by_task
SS1651678268119,CD,<.75codeable,by_task
SS1651678278178,CD,<.75codeable,by_task
SS1651678701050,CD,<.75codeable,by_task
SS1651682805154,CD,<.75codeable,by_task
SS1651687447221,CD,<.75codeable,by_task
SS1651689857645,CD,<.75codeable,by_task
SS1651690446636,CD,<.75codeable,by_task
SS1651690698980,CD,<.75codeable,by_task
SS1651690707343,CD,<.75codeable,by_task
SS1651690719510,CD,<.75codeable,by_task
SS1651690731537,CD,<.75codeable,by_task
SS1651690737808,CD,<.75codeable,by_task
SS1651690762770,CD,<.75codeable,by_task
SS1651690793463,CD,<.75codeable,by_task
SS1651690873357,CD,<.75codeable,by_task
SS1651694070275,CD,<.75codeable,by_task
SS1651731235827,CD,<.75codeable,by_task
SS1651742060593,CD,<.75codeable,by_task
SS1651804729362,CD,<.75codeable,by_task
SS1651868713554,CD,<.75codeable,by_task
SS1651868731784,CD,<.75codeable,by_task
SS1651868745180,CD,<.75codeable,by_task
SS1651868782330,CD,<.75codeable,by_task
SS1651868817160,CD,<.75codeable,by_task
SS1651868817171,CD,<.75codeable,by_task
SS1651868839147,CD,<.75codeable,by_task
SS1651868840790,CD,<.75codeable,by_task
SS1651869096666,CD,<.75codeable,by_task
SS1651871841115,CD,<.75codeable,by_task
SS1651916837690,CD,<.75codeable,by_task
SS1651916886491,CD,<.75codeable,by_task
SS1651544690789,FD,>.25uncodeable,by_task
SS1651545107281,FD,>.25uncodeable,by_task
SS1651545357097,FD,>.25uncodeable,by_task
SS1651547162777,FD,>.25uncodeable,by_task
SS1651552837542,FD,>.25uncodeable,by_task
SS1651553969715,FD,>.25uncodeable,by_task
SS1651554284065,FD,>.25uncodeable,by_task
SS1651564260438,FD,>.25uncodeable,by_task
SS1651568382617,FD,>.25uncodeable,by_task
SS1651616821119,FD,>.25uncodeable,by_task
SS1651616861128,FD,>.25uncodeable,by_task
SS1651617033971,FD,>.25uncodeable,by_task
SS1651620046254,FD,>.25uncodeable,by_task
SS1651631374290,FD,>.25uncodeable,by_task
SS1651642739005,FD,>.25uncodeable,by_task
SS1651645903803,FD,>.25uncodeable,by_task
SS1651655612985,FD,>.25uncodeable,by_task
SS1651660777144,FD,>.25uncodeable,by_task
SS1651661370426,FD,>.25uncodeable,by_task
SS1651690707467,FD,>.25uncodeable,by_task
SS1651690737808,FD,>.25uncodeable,by_task
SS1651732296508,FD,>.25uncodeable,by_task
SS1651742060593,FD,>.25uncodeable,by_task
SS1651743246534,FD,>.25uncodeable,by_task
SS1651747335475,FD,>.25uncodeable,by_task
SS1651765169248,FD,>.25uncodeable,by_task
SS1651765911820,FD,>.25uncodeable,by_task
SS1651802919199,FD,>.25uncodeable,by_task
SS1651804378273,FD,>.25uncodeable,by_task
SS1651804729362,FD,>.25uncodeable,by_task
SS1651806183814,FD,>.25uncodeable,by_task
SS1651807671427,FD,>.25uncodeable,by_task
SS1651809674248,FD,>.25uncodeable,by_task
SS1651811217708,FD,>.25uncodeable,by_task
SS1651813057402,FD,>.25uncodeable,by_task
SS1651813633535,FD,>.25uncodeable,by_task
SS1651868731784,FD,>.25uncodeable,by_task
SS1651869128913,FD,>.25uncodeable,by_task
SS1651897042062,FD,>.25uncodeable,by_task
SS1651901964830,FD,>.25uncodeable,by_task
SS1651905218784,FD,>.25uncodeable,by_task
SS1651906591158,FD,>.25uncodeable,by_task
SS1651907106845,FD,>.25uncodeable,by_task
SS1651910974793,FD,>.25uncodeable,by_task
SS1651916837690,FD,>.25uncodeable,by_task
SS1651544690789,SSI,failtask,by_task
SS1651552362039,SSI,failtask,by_task
SS1651552837542,SSI,failtask,by_task
SS1651565828518,SSI,failtask,by_task
SS1651572914976,SSI,failtask,by_task
SS1651616817210,SSI,failtask,by_task
SS1651616827589,SSI,failtask,by_task
SS1651616840889,SSI,failtask,by_task
SS1651616846951,SSI,failtask,by_task
SS1651617013503,SSI,failtask,by_task
SS1651617033971,SSI,failtask,by_task
SS1651644576691,SSI,failtask,by_task
SS1651645903803,SSI,failtask,by_task
SS1651649525276,SSI,failtask,by_task
SS1651678220434,SSI,failtask,by_task
SS1651678244241,SSI,failtask,by_task
SS1651678248989,SSI,failtask,by_task
SS1651678250397,SSI,failtask,by_task
SS1651678462364,SSI,failtask,by_task
SS1651678574838,SSI,failtask,by_task
SS1651678809453,SSI,failtask,by_task
SS1651689857645,SSI,failtask,by_task
SS1651690446636,SSI,failtask,by_task
SS1651690683219,SSI,failtask,by_task
SS1651690685286,SSI,failtask,by_task
SS1651690687538,SSI,failtask,by_task
SS1651690707343,SSI,failtask,by_task
SS1651690707467,SSI,failtask,by_task
SS1651690711805,SSI,failtask,by_task
SS1651690737808,SSI,failtask,by_task
SS1651690873357,SSI,failtask,by_task
SS1651804378273,SSI,failtask,by_task
SS1651804729362,SSI,failtask,by_task
SS1651868712524,SSI,failtask,by_task
SS1651868731784,SSI,failtask,by_task
SS1651868755995,SSI,failtask,by_task
SS1651868799606,SSI,failtask,by_task
SS1651868812123,SSI,failtask,by_task
SS1651868834466,SSI,failtask,by_task
SS1651868839147,SSI,failtask,by_task
SS1651869096666,SSI,failtask,by_task
SS1651873332890,SSI,failtask,by_task
SS1651906591158,SSI,failtask,by_task
SS1651690898679,TD,failcatch,by_task
SS1651552135862,TD,failcatch,by_task
SS1651842824466,TD,failcatch,by_task
SS1651868731784,TD,failcatch,by_task
SS1651734446265,TD,failcatch,by_task
SS1651842824466,TD,failcatch,by_task
SS1651545107281,SI,controlq,by_task
SS1651616827589,SI,controlq,by_task
SS1651616844684,SI,controlq,by_task
SS1651616846951,SI,controlq,by_task
SS1651616860708,SI,controlq,by_task
SS1651616863114,SI,controlq,by_task
SS1651616909217,SI,controlq,by_task
SS1651642739005,SI,controlq,by_task
SS1651662575870,SI,controlq,by_task
SS1651678150777,SI,controlq,by_task
SS1651678262854,SI,controlq,by_task
SS1651678274966,SI,controlq,by_task
SS1651679629301,SI,controlq,by_task
SS1651680129189,SI,controlq,by_task
SS1651689857645,SI,controlq,by_task
SS1651690446636,SI,controlq,by_task
SS1651690687538,SI,controlq,by_task
SS1651690707343,SI,controlq,by_task
SS1651690707467,SI,controlq,by_task
SS1651690711805,SI,controlq,by_task
SS1651690737808,SI,controlq,by_task
SS1651727696486,SI,controlq,by_task
SS1651743246534,SI,controlq,by_task
SS1651804729362,SI,controlq,by_task
SS1651868708760,SI,controlq,by_task
SS1651868716048,SI,controlq,by_task
SS1651868731784,SI,controlq,by_task
SS1651868754302,SI,controlq,by_task
SS1651868793732,SI,controlq,by_task
SS1651868795565,SI,controlq,by_task
SS1651868799606,SI,controlq,by_task
SS1651868827795,SI,controlq,by_task
SS1651868839906,SI,controlq,by_task
SS1651868840790,SI,controlq,by_task
SS1651868876318,SI,controlq,by_task
SS1651870014949,SI,controlq,by_task
SS1651871889261,SI,controlq,by_task
SS1651906591158,SI,controlq,by_task
SS1651928385240,SI,controlq,by_task
SS1651544824620,NA,demog_abroadexp,whole_participant
SS1651552795730,NA,demog_abroadexp,whole_participant
SS1651590333066,NA,demog_abroadexp,whole_participant
SS1651803479750,NA,demog_abroadexp,whole_participant
SS1651616804135,NA,demog_abroadexp,whole_participant
SS1651678221331,NA,demog_abroadexp,whole_participant
SS1651690735532,NA,demog_abroadexp,whole_participant
SS1651868755995,NA,demog_abroadexp,whole_participant
SS1651868761529,NA,demog_abroadexp,whole_participant
SS1651868836129,NA,demog_abroadexp,whole_participant
