subject,culture,demog_question,demog_response
SS1651544690789,CN,zipcode,7100
SS1651544690789,CN,resimobinum,2
SS1651544690789,CN,abroadexp,否
SS1651544690789,CN,overseaexpnum,没有国际经历
SS1651544690789,CN,firstlanguage,是
SS1651544690789,CN,monolingual,不，我只说中文
SS1651544690789,CN,targetlanguage,能
SS1651544690789,CN,lang_sp,10
SS1651544690789,CN,lang_ud,10
SS1651544690789,CN,subjectiveses,6
SS1651544690789,CN,currentcollege,是
SS1651544690789,CN,selfeducation,四年/五年制大学本科学位
SS1651544690789,CN,stem_or_not,否
SS1651544690789,CN,which_regions,NA
SS1651544913549,CN,zipcode,0300
SS1651544913549,CN,resimobinum,5
SS1651544913549,CN,abroadexp,否
SS1651544913549,CN,overseaexpnum,没有国际经历
SS1651544913549,CN,firstlanguage,是
SS1651544913549,CN,monolingual,是，我是多语者
SS1651544913549,CN,targetlanguage,能
SS1651544913549,CN,lang_sp,9
SS1651544913549,CN,lang_ud,10
SS1651544913549,CN,subjectiveses,8
SS1651544913549,CN,currentcollege,是
SS1651544913549,CN,selfeducation,四年/五年制大学本科学位
SS1651544913549,CN,stem_or_not,是
SS1651544913549,CN,which_regions,NA
SS1651544929438,CN,zipcode,
SS1651544929438,CN,resimobinum,卧龙岗
SS1651544929438,CN,abroadexp,是
SS1651544929438,CN,overseaexpnum,没有国际经历
SS1651544929438,CN,firstlanguage,是
SS1651544929438,CN,monolingual,不，我只说中文
SS1651544929438,CN,targetlanguage,能
SS1651544929438,CN,lang_sp,1
SS1651544929438,CN,lang_ud,2
SS1651544929438,CN,subjectiveses,4
SS1651544929438,CN,currentcollege,是
SS1651544929438,CN,selfeducation,大专学历
SS1651544929438,CN,stem_or_not,否
SS1651544929438,CN,which_regions,亚洲
SS1651545081461,CN,zipcode,8300
SS1651545081461,CN,resimobinum,4
SS1651545081461,CN,abroadexp,是
SS1651545081461,CN,overseaexpnum,没有国际经历
SS1651545081461,CN,firstlanguage,是
SS1651545081461,CN,monolingual,不，我只说中文
SS1651545081461,CN,targetlanguage,能
SS1651545081461,CN,lang_sp,6
SS1651545081461,CN,lang_ud,4
SS1651545081461,CN,subjectiveses,3
SS1651545081461,CN,currentcollege,是
SS1651545081461,CN,selfeducation,四年/五年制大学本科学位
SS1651545081461,CN,stem_or_not,是
SS1651545081461,CN,which_regions,亚洲
SS1651545105150,CN,zipcode,2621
SS1651545105150,CN,resimobinum,4
SS1651545105150,CN,abroadexp,否
SS1651545105150,CN,overseaexpnum,没有国际经历
SS1651545105150,CN,firstlanguage,是
SS1651545105150,CN,monolingual,是，我是多语者
SS1651545105150,CN,targetlanguage,能
SS1651545105150,CN,lang_sp,3
SS1651545105150,CN,lang_ud,3
SS1651545105150,CN,subjectiveses,6
SS1651545105150,CN,currentcollege,否
SS1651545105150,CN,selfeducation,有过一些研究生经历
SS1651545105150,CN,stem_or_not,否
SS1651545105150,CN,which_regions,NA
SS1651545107281,CN,zipcode,523000
SS1651545107281,CN,resimobinum,4
SS1651545107281,CN,abroadexp,是
SS1651545107281,CN,overseaexpnum,没有国际经历
SS1651545107281,CN,firstlanguage,是
SS1651545107281,CN,monolingual,不，我只说中文
SS1651545107281,CN,targetlanguage,不能
SS1651545107281,CN,lang_sp,NA
SS1651545107281,CN,lang_ud,NA
SS1651545107281,CN,subjectiveses,6
SS1651545107281,CN,currentcollege,否
SS1651545107281,CN,selfeducation,大专学历
SS1651545107281,CN,stem_or_not,是
SS1651545107281,CN,which_regions,亚洲
SS1651545123067,CN,zipcode,
SS1651545123067,CN,resimobinum,2
SS1651545123067,CN,abroadexp,否
SS1651545123067,CN,overseaexpnum,三到五段国际经历
SS1651545123067,CN,firstlanguage,是
SS1651545123067,CN,monolingual,是，我是多语者
SS1651545123067,CN,targetlanguage,能
SS1651545123067,CN,lang_sp,8
