subject,culture,task_name,task_info,trial_info,resp_type,resp
SS1651616817210,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616817210,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616817210,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616817210,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616819170,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616819170,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616819170,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616819170,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616821119,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616821119,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616821119,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616821119,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616823657,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616823657,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616823657,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616823657,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616824013,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616824013,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616824013,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616824013,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616827589,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616827589,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616827589,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616827589,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616829561,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616829561,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616829561,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616829561,US,RMTS,RMTS,RMTS,choice_match,0
SS1651616834023,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616834023,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616834023,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616834023,US,RMTS,RMTS,RMTS,choice_match,1
SS1651616835091,US,RMTS,RMTS,RMTS,choice_match,0
