cue,tax_match,them_match,culture
teacup,glass,kettle,US
teacher,policeman,desk,US
bowl,plate,soup,US
pigeon,duck ,nest,US
boot,slipper,foot,US
legs,arms,pants,US
goat,deer,field,US
bee,ladybug,garden,US
saw,hammer,plank,US
dress,pants,hanger,US
elephant,giraffe,zoo,US
notepad,book,backpack,US
spoon,fork,sugar,US
airplane,helicopter,sky,US
ring,necklace,hand,US
茶杯,玻璃杯,水壶,CN
老师,警察,书桌,CN
碗,盘子,汤,CN
鸽子,鸭子,鸟巢,CN
靴子,拖鞋,脚,CN
腿,手臂,裤子,CN
山羊,鹿,草地,CN
蜜蜂,瓢虫,花园,CN
锯子,锤子,木板,CN
连衣裙,裤子,衣架,CN
大象,长颈鹿,动物园,CN
草稿本,书,双肩包,CN
勺子,叉子,糖,CN
飞机,直升机,天空,CN
婚戒,项链,手,CN
